year,link
2023,https://www.sciencedirect.com/journal/journal-of-hydrology-x/vol/19/suppl/C
2023,https://www.sciencedirect.com/journal/journal-of-hydrology-x/vol/18/suppl/C
2022,https://www.sciencedirect.com/journal/journal-of-hydrology-x/vol/17/suppl/C
2022,https://www.sciencedirect.com/journal/journal-of-hydrology-x/vol/16/suppl/C
2022,https://www.sciencedirect.com/journal/journal-of-hydrology-x/vol/15/suppl/C
2022,https://www.sciencedirect.com/journal/journal-of-hydrology-x/vol/14/suppl/C
2021,https://www.sciencedirect.com/journal/journal-of-hydrology-x/vol/13/suppl/C
2021,https://www.sciencedirect.com/journal/journal-of-hydrology-x/vol/12/suppl/C
2021,https://www.sciencedirect.com/journal/journal-of-hydrology-x/vol/11/suppl/C
2021,https://www.sciencedirect.com/journal/journal-of-hydrology-x/vol/10/suppl/C
2020,https://www.sciencedirect.com/journal/journal-of-hydrology-x/vol/9/suppl/C
2020,https://www.sciencedirect.com/journal/journal-of-hydrology-x/vol/8/suppl/C
2020,https://www.sciencedirect.com/journal/journal-of-hydrology-x/vol/7/suppl/C
2020,https://www.sciencedirect.com/journal/journal-of-hydrology-x/vol/6/suppl/C
2019,https://www.sciencedirect.com/journal/journal-of-hydrology-x/vol/5/suppl/C
2019,https://www.sciencedirect.com/journal/journal-of-hydrology-x/vol/4/suppl/C
2019,https://www.sciencedirect.com/journal/journal-of-hydrology-x/vol/3/suppl/C
2019,https://www.sciencedirect.com/journal/journal-of-hydrology-x/vol/2/suppl/C
2018,https://www.sciencedirect.com/journal/journal-of-hydrology-x/vol/1/suppl/C
