vol_index,paper_link,doi
0,https://www.sciencedirect.com/science/article/pii/S2589757822000105,10.1016/j.hydres.2022.12.001
0,https://www.sciencedirect.com/science/article/pii/S258975782200018X,10.1016/j.hydres.2022.12.002
0,https://www.sciencedirect.com/science/article/pii/S258975782300001X,10.1016/j.hydres.2023.01.001
0,https://www.sciencedirect.com/science/article/pii/S2589757823000021,10.1016/j.hydres.2023.01.002
0,https://www.sciencedirect.com/science/article/pii/S2589757823000033,10.1016/j.hydres.2023.01.003
0,https://www.sciencedirect.com/science/article/pii/S2589757823000045,10.1016/j.hydres.2023.02.001
0,https://www.sciencedirect.com/science/article/pii/S2589757823000069,10.1016/j.hydres.2023.02.003
0,https://www.sciencedirect.com/science/article/pii/S2589757823000057,10.1016/j.hydres.2023.02.002
0,https://www.sciencedirect.com/science/article/pii/S2589757823000070,10.1016/j.hydres.2023.02.004
0,https://www.sciencedirect.com/science/article/pii/S2589757823000082,10.1016/j.hydres.2023.03.001
0,https://www.sciencedirect.com/science/article/pii/S2589757823000100,10.1016/j.hydres.2023.03.002
0,https://www.sciencedirect.com/science/article/pii/S2589757823000148,10.1016/j.hydres.2023.04.001
0,https://www.sciencedirect.com/science/article/pii/S2589757823000161,10.1016/j.hydres.2023.04.003
0,https://www.sciencedirect.com/science/article/pii/S2589757822000191,10.1016/j.hydres.2022.12.003
0,https://www.sciencedirect.com/science/article/pii/S2589757823000173,10.1016/j.hydres.2023.05.001
0,https://www.sciencedirect.com/science/article/pii/S258975782300015X,10.1016/j.hydres.2023.04.002
0,https://www.sciencedirect.com/science/article/pii/S2589757823000197,10.1016/j.hydres.2023.05.003
0,https://www.sciencedirect.com/science/article/pii/S2589757823000185,10.1016/j.hydres.2023.05.002
0,https://www.sciencedirect.com/science/article/pii/S2589757823000203,10.1016/j.hydres.2023.06.001
0,https://www.sciencedirect.com/science/article/pii/S2589757823000215,10.1016/j.hydres.2023.06.002
1,https://www.sciencedirect.com/science/article/pii/S2589757821000172,10.1016/j.hydres.2021.12.001
1,https://www.sciencedirect.com/science/article/pii/S2589757822000014,10.1016/j.hydres.2022.01.001
1,https://www.sciencedirect.com/science/article/pii/S2589757822000026,10.1016/j.hydres.2021.11.001
1,https://www.sciencedirect.com/science/article/pii/S2589757822000038,10.1016/j.hydres.2022.04.001
1,https://www.sciencedirect.com/science/article/pii/S258975782200004X,10.1016/j.hydres.2022.07.001
1,https://www.sciencedirect.com/science/article/pii/S2589757822000051,10.1016/j.hydres.2022.07.002
1,https://www.sciencedirect.com/science/article/pii/S2589757822000063,10.1016/j.hydres.2022.08.001
1,https://www.sciencedirect.com/science/article/pii/S2589757822000075,10.1016/j.hydres.2022.09.001
1,https://www.sciencedirect.com/science/article/pii/S2589757822000087,10.1016/j.hydres.2022.11.001
1,https://www.sciencedirect.com/science/article/pii/S2589757822000099,10.1016/j.hydres.2022.11.002
2,https://www.sciencedirect.com/science/article/pii/S2589757821000056,10.1016/j.hydres.2021.02.001
2,https://www.sciencedirect.com/science/article/pii/S2589757821000068,10.1016/j.hydres.2021.02.002
2,https://www.sciencedirect.com/science/article/pii/S258975782100007X,10.1016/j.hydres.2021.04.001
2,https://www.sciencedirect.com/science/article/pii/S2589757821000093,10.1016/j.hydres.2021.04.003
2,https://www.sciencedirect.com/science/article/pii/S2589757821000081,10.1016/j.hydres.2021.04.002
2,https://www.sciencedirect.com/science/article/pii/S258975782100010X,10.1016/j.hydres.2021.08.001
3,https://www.sciencedirect.com/science/article/pii/S258975782030007X,10.1016/j.hydres.2020.02.002
3,https://www.sciencedirect.com/science/article/pii/S258975782030010X,10.1016/j.hydres.2020.04.002
3,https://www.sciencedirect.com/science/article/pii/S2589757820300111,10.1016/j.hydres.2020.04.003
3,https://www.sciencedirect.com/science/article/pii/S2589757820300093,10.1016/j.hydres.2020.04.001
3,https://www.sciencedirect.com/science/article/pii/S2589757820300123,10.1016/j.hydres.2020.06.001
3,https://www.sciencedirect.com/science/article/pii/S2589757820300135,10.1016/j.hydres.2020.05.001
3,https://www.sciencedirect.com/science/article/pii/S2589757820300147,10.1016/j.hydres.2020.07.001
3,https://www.sciencedirect.com/science/article/pii/S2589757820300159,10.1016/j.hydres.2020.09.001
3,https://www.sciencedirect.com/science/article/pii/S2589757820300184,10.1016/j.hydres.2020.10.003
3,https://www.sciencedirect.com/science/article/pii/S2589757820300196,10.1016/j.hydres.2020.10.004
3,https://www.sciencedirect.com/science/article/pii/S2589757820300172,10.1016/j.hydres.2020.10.002
3,https://www.sciencedirect.com/science/article/pii/S2589757820300160,10.1016/j.hydres.2020.10.001
3,https://www.sciencedirect.com/science/article/pii/S2589757820300202,10.1016/j.hydres.2020.11.001
3,https://www.sciencedirect.com/science/article/pii/S2589757820300238,10.1016/j.hydres.2020.11.004
3,https://www.sciencedirect.com/science/article/pii/S2589757820300214,10.1016/j.hydres.2020.11.002
3,https://www.sciencedirect.com/science/article/pii/S2589757820300226,10.1016/j.hydres.2020.11.003
3,https://www.sciencedirect.com/science/article/pii/S258975782030024X,10.1016/j.hydres.2020.12.001
4,https://www.sciencedirect.com/science/article/pii/S2589757819300125,10.1016/j.hydres.2019.09.001
4,https://www.sciencedirect.com/science/article/pii/S2589757819300150,10.1016/j.hydres.2019.11.001
4,https://www.sciencedirect.com/science/article/pii/S2589757819300149,10.1016/j.hydres.2019.10.001
4,https://www.sciencedirect.com/science/article/pii/S2589757819300174,10.1016/j.hydres.2019.11.003
4,https://www.sciencedirect.com/science/article/pii/S2589757819300198,10.1016/j.hydres.2019.11.005
4,https://www.sciencedirect.com/science/article/pii/S2589757819300162,10.1016/j.hydres.2019.11.002
4,https://www.sciencedirect.com/science/article/pii/S2589757819300137,10.1016/j.hydres.2019.09.002
4,https://www.sciencedirect.com/science/article/pii/S2589757819300186,10.1016/j.hydres.2019.11.004
4,https://www.sciencedirect.com/science/article/pii/S2589757819300216,10.1016/j.hydres.2019.11.007
4,https://www.sciencedirect.com/science/article/pii/S2589757819300228,10.1016/j.hydres.2019.11.008
4,https://www.sciencedirect.com/science/article/pii/S2589757819300204,10.1016/j.hydres.2019.11.006
4,https://www.sciencedirect.com/science/article/pii/S258975781930023X,10.1016/j.hydres.2019.11.009
4,https://www.sciencedirect.com/science/article/pii/S2589757820300019,10.1016/j.hydres.2019.12.001
4,https://www.sciencedirect.com/science/article/pii/S2589757820300020,10.1016/j.hydres.2020.02.001
5,https://www.sciencedirect.com/science/article/pii/S2589757819300071,10.1016/j.hydres.2019.07.001
5,https://www.sciencedirect.com/science/article/pii/S2589757819300022,10.1016/j.hydres.2019.04.001
5,https://www.sciencedirect.com/science/article/pii/S2589757819300034,10.1016/j.hydres.2019.04.002
5,https://www.sciencedirect.com/science/article/pii/S2589757819300046,10.1016/j.hydres.2019.04.003
5,https://www.sciencedirect.com/science/article/pii/S2589757819300010,10.1016/j.hydres.2019.01.001
5,https://www.sciencedirect.com/science/article/pii/S2589757819300058,10.1016/j.hydres.2019.06.001
5,https://www.sciencedirect.com/science/article/pii/S258975781930006X,10.1016/j.hydres.2019.06.002
