2018,2019,2020,2021,2022,2023
0,0,0,0,0,0
19,22,30,21,22,8
5,4,7,6,6,4
4,3,5,20,7,6
0,0,0,0,0,0
0,0,1,1,1,0
136,188,223,281,309,247
9,10,23,46,70,53
0,4,5,4,7,1
0,0,0,0,0,0
3,4,2,3,7,5
0,1,1,2,0,4
0,0,0,0,0,0
31,50,65,83,96,73
6,16,13,27,19,12
4,9,15,20,19,14
37,37,61,83,84,31
0,0,0,0,0,0
0,1,0,1,0,1
0,0,0,0,5,1
0,0,0,2,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
60,62,81,127,0,0
2,1,7,4,8,9
20,37,34,35,35,23
53,72,62,76,79,48
