index,doi
16207,10.1016/j.watres.2022.118196
16207,10.1016/j.watres.2022.118196
16208,10.1016/j.watres.2022.118211
16208,10.1016/j.watres.2022.118211
16209,10.1016/j.watres.2022.118192
16209,10.1016/j.watres.2022.118192
16210,10.1016/j.watres.2022.118210
16210,10.1016/j.watres.2022.118210
16211,10.1016/j.watres.2022.118205
16211,10.1016/j.watres.2022.118205
16212,10.1016/j.watres.2022.118215
16212,10.1016/j.watres.2022.118215
16213,10.1016/j.watres.2022.118200
16213,10.1016/j.watres.2022.118200
16214,10.1016/j.watres.2022.118216
16214,10.1016/j.watres.2022.118216
16215,10.1016/j.watres.2022.118171
16215,10.1016/j.watres.2022.118171
16216,10.1016/j.watres.2022.118203
16216,10.1016/j.watres.2022.118203
16217,10.1016/j.watres.2022.118219
16217,10.1016/j.watres.2022.118219
16218,10.1016/j.watres.2022.118188
16218,10.1016/j.watres.2022.118188
16219,10.1016/j.watres.2022.118147
16219,10.1016/j.watres.2022.118147
16220,10.1016/j.watres.2022.118143
16220,10.1016/j.watres.2022.118143
16221,10.1016/j.watres.2022.118053
16221,10.1016/j.watres.2022.118053
16222,10.1016/j.watres.2022.118150
16222,10.1016/j.watres.2022.118150
16223,10.1016/j.watres.2022.118152
16223,10.1016/j.watres.2022.118152
16224,10.1016/j.watres.2022.118141
16224,10.1016/j.watres.2022.118141
16225,10.1016/j.watres.2022.118154
16225,10.1016/j.watres.2022.118154
16226,10.1016/j.watres.2022.118140
16226,10.1016/j.watres.2022.118140
16227,10.1016/j.watres.2022.118158
16227,10.1016/j.watres.2022.118158
16228,10.1016/j.watres.2022.118145
16228,10.1016/j.watres.2022.118145
16229,10.1016/j.watres.2022.118149
16229,10.1016/j.watres.2022.118149
16230,10.1016/j.watres.2022.118093
16230,10.1016/j.watres.2022.118093
16231,10.1016/j.watres.2022.118132
16231,10.1016/j.watres.2022.118132
16232,10.1016/j.watres.2022.118161
16232,10.1016/j.watres.2022.118161
16233,10.1016/j.watres.2022.118166
16233,10.1016/j.watres.2022.118166
16234,10.1016/j.watres.2022.118153
16234,10.1016/j.watres.2022.118153
16235,10.1016/j.watres.2022.118151
16235,10.1016/j.watres.2022.118151
16236,10.1016/j.watres.2022.118164
16236,10.1016/j.watres.2022.118164
16237,10.1016/j.watres.2022.118146
16237,10.1016/j.watres.2022.118146
16238,10.1016/j.watres.2022.118095
16238,10.1016/j.watres.2022.118095
16239,10.1016/j.watres.2022.118159
16239,10.1016/j.watres.2022.118159
16240,10.1016/j.watres.2022.118185
16240,10.1016/j.watres.2022.118185
16241,10.1016/j.watres.2022.118165
16241,10.1016/j.watres.2022.118165
16242,10.1016/j.watres.2022.118174
16242,10.1016/j.watres.2022.118174
16243,10.1016/j.watres.2022.118168
16243,10.1016/j.watres.2022.118168
16247,10.1016/j.watres.2022.118105
16247,10.1016/j.watres.2022.118105
16248,10.1016/j.watres.2022.118103
16248,10.1016/j.watres.2022.118103
16252,10.1016/j.watres.2022.118100
16252,10.1016/j.watres.2022.118100
16258,10.1016/j.watres.2022.118110
16258,10.1016/j.watres.2022.118110
16265,10.1016/j.watres.2022.118091
16265,10.1016/j.watres.2022.118091
16272,10.1016/j.watres.2022.118120
16272,10.1016/j.watres.2022.118120
16274,10.1016/j.watres.2022.118116
16274,10.1016/j.watres.2022.118116
16277,10.1016/j.watres.2022.118080
16277,10.1016/j.watres.2022.118080
16282,10.1016/j.watres.2022.118126
16282,10.1016/j.watres.2022.118126
16287,10.1016/j.watres.2022.118082
16287,10.1016/j.watres.2022.118082
16302,10.1016/j.watres.2022.118037
16302,10.1016/j.watres.2022.118037
16304,10.1016/j.watres.2022.118050
16304,10.1016/j.watres.2022.118050
16316,10.1016/j.watres.2022.118058
16316,10.1016/j.watres.2022.118058
16318,10.1016/j.watres.2022.118038
16318,10.1016/j.watres.2022.118038
16329,10.1016/j.watres.2022.118057
16329,10.1016/j.watres.2022.118057
16345,10.1016/j.watres.2021.117979
16345,10.1016/j.watres.2021.117979
16373,10.1016/j.watres.2021.118019
16373,10.1016/j.watres.2021.118019
16380,10.1016/j.watres.2021.118031
16380,10.1016/j.watres.2021.118031
16383,10.1016/j.watres.2021.117909
16383,10.1016/j.watres.2021.117909
16387,10.1016/j.watres.2021.117877
16387,10.1016/j.watres.2021.117877
16396,10.1016/j.watres.2021.117897
16396,10.1016/j.watres.2021.117897
16411,10.1016/j.watres.2021.117894
16411,10.1016/j.watres.2021.117894
16412,10.1016/j.watres.2021.117911
16412,10.1016/j.watres.2021.117911
16427,10.1016/j.watres.2021.117950
16427,10.1016/j.watres.2021.117950
16450,10.1016/j.watres.2021.117847
16450,10.1016/j.watres.2021.117847
16458,10.1016/j.watres.2021.117859
16458,10.1016/j.watres.2021.117859
16459,10.1016/j.watres.2021.117865
16459,10.1016/j.watres.2021.117865
16464,10.1016/j.watres.2021.117856
16464,10.1016/j.watres.2021.117856
16466,10.1016/j.watres.2021.117872
16466,10.1016/j.watres.2021.117872
16473,10.1016/j.watres.2021.117823
16473,10.1016/j.watres.2021.117823
16474,10.1016/j.watres.2021.117758
16474,10.1016/j.watres.2021.117758
16479,10.1016/j.watres.2021.117788
16479,10.1016/j.watres.2021.117788
16482,10.1016/j.watres.2021.117748
16482,10.1016/j.watres.2021.117748
16487,10.1016/j.watres.2021.117785
16487,10.1016/j.watres.2021.117785
16495,10.1016/j.watres.2021.117791
16495,10.1016/j.watres.2021.117791
