journal_id,volume_id,year,link,doi,date,pii,eid,scopus_id,citations,authors,affiliations,open_access
1,0,2023,https://www.sciencedirect.com/science/article/pii/S0309170823001215,10.1016/j.advwatres.2023.104486,2023-08-01,S0309170823001215,2-s2.0-85163143487,85163143487.0,0.0,"58264479500, 7006929576, 58369384900, 8519969000",60030856:60032781:60032781:60032781,True
1,0,2023,https://www.sciencedirect.com/science/article/pii/S0309170823001288,10.1016/j.advwatres.2023.104493,2023-08-01,S0309170823001288,2-s2.0-85163003446,85163003446.0,0.0,"58355884500, 6603318220, 36238598900",60032259:60032259:60032259,True
1,1,2023,https://www.sciencedirect.com/science/article/pii/S0309170823000982,10.1016/j.advwatres.2023.104463,2023-07-01,S0309170823000982,2-s2.0-85160420259,85160420259.0,0.0,"57211081797, 15725750100",60032086:60032086,True
1,2,2023,https://www.sciencedirect.com/science/article/pii/S0309170823000775,10.1016/j.advwatres.2023.104442,2023-06-01,S0309170823000775,2-s2.0-85157994627,85157994627.0,0.0,"58235576800, 58236260700, 57272419000, 57216077018",60007751:60009512:60007751:60007751,True
1,3,2023,https://www.sciencedirect.com/science/article/pii/S0309170823000751,10.1016/j.advwatres.2023.104440,2023-05-01,S0309170823000751,2-s2.0-85153501856,85153501856.0,0.0,"35998676200, 6701763216, 55184572800",60011347:60011347:60011347,True
1,6,2023,https://www.sciencedirect.com/science/article/pii/S0309170823000192,10.1016/j.advwatres.2023.104384,2023-02-01,S0309170823000192,2-s2.0-85147103816,85147103816.0,0.0,"56719959500, 57218532760","60016087, 60016087, 60016087:60016087, 128131440",True
1,7,2023,https://www.sciencedirect.com/science/article/pii/S0309170822002032,10.1016/j.advwatres.2022.104340,2023-01-01,S0309170822002032,2-s2.0-85142741612,85142741612.0,1.0,"26022383000, 36802549100, 55289520600",60110807:60110807:60069620,True
1,7,2023,https://www.sciencedirect.com/science/article/pii/S0309170822002226,10.1016/j.advwatres.2022.104359,2023-01-01,S0309170822002226,2-s2.0-85143628331,85143628331.0,0.0,"55338683000, 7004782811, 57997760100, 57190062010, 14629944800",60018229:60018229:60018229:60018229:60018229,True
1,9,2022,https://www.sciencedirect.com/science/article/pii/S0309170822001737,10.1016/j.advwatres.2022.104310,2022-11-01,S0309170822001737,2-s2.0-85138336771,85138336771.0,0.0,"57197713368, 9842544800, 57200202959, 6602472572, 57219308819, 57212173816, 8363818000, 57897584900",60007843:60007843:60007843:60007843:60007843:60007843:60007843:60007843,True
1,9,2022,https://www.sciencedirect.com/science/article/pii/S0309170822001713,10.1016/j.advwatres.2022.104308,2022-11-01,S0309170822001713,2-s2.0-85138463719,85138463719.0,3.0,"57201334806, 6507417920, 57194764703",60002970:60002970:117890670,True
1,10,2022,https://www.sciencedirect.com/science/article/pii/S0309170822001646,10.1016/j.advwatres.2022.104300,2022-10-01,S0309170822001646,2-s2.0-85136568825,85136568825.0,3.0,"36619129000, 57201351037, 57200684825, 57478283200",60010884:60010884:60010884:60010884,True
1,10,2022,https://www.sciencedirect.com/science/article/pii/S0309170822001518,10.1016/j.advwatres.2022.104287,2022-10-01,S0309170822001518,2-s2.0-85136319081,85136319081.0,4.0,"57851453900, 24777164600, 57851454000, 7202204726","60007278:60007278:60007278:60007278, 60007278",True
1,11,2022,https://www.sciencedirect.com/science/article/pii/S0309170822001397,10.1016/j.advwatres.2022.104274,2022-09-01,S0309170822001397,2-s2.0-85135695648,85135695648.0,1.0,"57837599800, 57213555867, 57208861055, 7401847849",60000745:60000745:60000745:60000745,True
1,12,2022,https://www.sciencedirect.com/science/article/pii/S0309170822001099,10.1016/j.advwatres.2022.104238,2022-08-01,S0309170822001099,2-s2.0-85131419993,85131419993.0,2.0,"57212865497, 15064577400, 57210428738, 7004516918",60052453:60015875:127898783:60052453,True
1,12,2022,https://www.sciencedirect.com/science/article/pii/S0309170822001336,10.1016/j.advwatres.2022.104264,2022-08-01,S0309170822001336,2-s2.0-85133943572,85133943572.0,0.0,"57795602100, 57194656722, 55320609300, 24773550400","60011373:60007843, 60104946:60104946, 60007776:60011373",True
1,12,2022,https://www.sciencedirect.com/science/article/pii/S0309170822001348,10.1016/j.advwatres.2022.104267,2022-08-01,S0309170822001348,2-s2.0-85134291655,85134291655.0,0.0,"56193890800, 55372396500, 35099401800, 7004342328",60032987:60118639:60020828:60032987,True
1,13,2022,https://www.sciencedirect.com/science/article/pii/S0309170822001129,10.1016/j.advwatres.2022.104241,2022-07-01,S0309170822001129,2-s2.0-85131459797,85131459797.0,2.0,"57730504700, 55890739500, 26532004800, 57190818469",60028333:60001873:60026553:60028333,True
1,13,2022,https://www.sciencedirect.com/science/article/pii/S0309170822001142,10.1016/j.advwatres.2022.104243,2022-07-01,S0309170822001142,2-s2.0-85133206465,85133206465.0,4.0,"55715457700, 57201009531, 57881682400, 57772513400, 57209204907, 35226809800, 9237931000",60029306:60029306:60029306:60018179:60029306:60002092:60029306,True
1,14,2022,https://www.sciencedirect.com/science/article/pii/S0309170822000756,10.1016/j.advwatres.2022.104203,2022-06-01,S0309170822000756,2-s2.0-85128517072,85128517072.0,2.0,"57210556788, 26634644000",60007566:60007566,True
1,14,2022,https://www.sciencedirect.com/science/article/pii/S0309170822000896,10.1016/j.advwatres.2022.104217,2022-06-01,S0309170822000896,2-s2.0-85130386363,85130386363.0,2.0,"57217870394, 56123452600",60008827:60008827,True
1,15,2022,https://www.sciencedirect.com/science/article/pii/S0309170822000422,10.1016/j.advwatres.2022.104166,2022-05-01,S0309170822000422,2-s2.0-85127163682,85127163682.0,0.0,"57209135909, 56818766700, 27967660700",60019656:60019656:60019656,True
1,15,2022,https://www.sciencedirect.com/science/article/pii/S0309170822000458,10.1016/j.advwatres.2022.104169,2022-05-01,S0309170822000458,2-s2.0-85127765594,85127765594.0,1.0,"57193403701, 55631444800, 55571370200, 57566648500, 57644488300, 6603931579",60012070:60084916:60012070:60012070:60084916:60012070,True
