year,link
2001,https://www.sciencedirect.com/journal/physics-and-chemistry-of-the-earth-part-b-hydrology-oceans-and-atmosphere/vol/26/issue/11
2001,https://www.sciencedirect.com/journal/physics-and-chemistry-of-the-earth-part-b-hydrology-oceans-and-atmosphere/vol/26/issue/10
2001,https://www.sciencedirect.com/journal/physics-and-chemistry-of-the-earth-part-b-hydrology-oceans-and-atmosphere/vol/26/issue/9
2001,https://www.sciencedirect.com/journal/physics-and-chemistry-of-the-earth-part-b-hydrology-oceans-and-atmosphere/vol/26/issue/7
2001,https://www.sciencedirect.com/journal/physics-and-chemistry-of-the-earth-part-b-hydrology-oceans-and-atmosphere/vol/26/issue/5
2001,https://www.sciencedirect.com/journal/physics-and-chemistry-of-the-earth-part-b-hydrology-oceans-and-atmosphere/vol/26/issue/4
2001,https://www.sciencedirect.com/journal/physics-and-chemistry-of-the-earth-part-b-hydrology-oceans-and-atmosphere/vol/26/issue/3
2001,https://www.sciencedirect.com/journal/physics-and-chemistry-of-the-earth-part-b-hydrology-oceans-and-atmosphere/vol/26/issue/2
2001,https://www.sciencedirect.com/journal/physics-and-chemistry-of-the-earth-part-b-hydrology-oceans-and-atmosphere/vol/26/issue/1
2000,https://www.sciencedirect.com/journal/physics-and-chemistry-of-the-earth-part-b-hydrology-oceans-and-atmosphere/vol/25/issue/10
2000,https://www.sciencedirect.com/journal/physics-and-chemistry-of-the-earth-part-b-hydrology-oceans-and-atmosphere/vol/25/issue/9
2000,https://www.sciencedirect.com/journal/physics-and-chemistry-of-the-earth-part-b-hydrology-oceans-and-atmosphere/vol/25/issue/7
2000,https://www.sciencedirect.com/journal/physics-and-chemistry-of-the-earth-part-b-hydrology-oceans-and-atmosphere/vol/25/issue/5
2000,https://www.sciencedirect.com/journal/physics-and-chemistry-of-the-earth-part-b-hydrology-oceans-and-atmosphere/vol/25/issue/4
2000,https://www.sciencedirect.com/journal/physics-and-chemistry-of-the-earth-part-b-hydrology-oceans-and-atmosphere/vol/25/issue/3
2000,https://www.sciencedirect.com/journal/physics-and-chemistry-of-the-earth-part-b-hydrology-oceans-and-atmosphere/vol/25/issue/2
2000,https://www.sciencedirect.com/journal/physics-and-chemistry-of-the-earth-part-b-hydrology-oceans-and-atmosphere/vol/25/issue/1
2000,https://www.sciencedirect.com/journal/physics-and-chemistry-of-the-earth-part-b-hydrology-oceans-and-atmosphere/vol/25/index/I1
1999,https://www.sciencedirect.com/journal/physics-and-chemistry-of-the-earth-part-b-hydrology-oceans-and-atmosphere/vol/24/issue/8
1999,https://www.sciencedirect.com/journal/physics-and-chemistry-of-the-earth-part-b-hydrology-oceans-and-atmosphere/vol/24/issue/7
1999,https://www.sciencedirect.com/journal/physics-and-chemistry-of-the-earth-part-b-hydrology-oceans-and-atmosphere/vol/24/issue/6
1999,https://www.sciencedirect.com/journal/physics-and-chemistry-of-the-earth-part-b-hydrology-oceans-and-atmosphere/vol/24/issue/5
1999,https://www.sciencedirect.com/journal/physics-and-chemistry-of-the-earth-part-b-hydrology-oceans-and-atmosphere/vol/24/issue/4
1999,https://www.sciencedirect.com/journal/physics-and-chemistry-of-the-earth-part-b-hydrology-oceans-and-atmosphere/vol/24/issue/3
1999,https://www.sciencedirect.com/journal/physics-and-chemistry-of-the-earth-part-b-hydrology-oceans-and-atmosphere/vol/24/issue/1
