journal,authors,buzz_id,date,name,doi,pii
Ocean Engineering,"['Nerea Portillo Juan', 'Clara Matutano', 'Vicente Negro Valdecantos']",0.0,2023-09-15,Uncertainties in the application of artificial neural networks in ocean engineering,10.1016/j.oceaneng.2023.115193,S0029801823015779
Journal of Ocean Engineering and Science,"['Xiaocong Wang', 'Renchuan Zhu', 'Yue Gu']",0.0,2023-07-05,Mechanism analysis and prediction of longitudinal cut wave pattern resistance based on CFD simulation,10.1016/j.joes.2023.07.001,S2468013323000347
Ocean Engineering,"[""M. P. O'Neill"", 'A. L. Osuchowski', 'R. Ross']",0.0,2023-09-15,Integrated and data Science-informed seabed characterisation for optimised foundation design,10.1016/j.oceaneng.2023.115095,S0029801823014798
International Journal of Naval Architecture and Ocean Engineering,"['Thi Loan Mai', 'Myungjun Jeon', 'Jooho Lee']",0.0,2023-07-02,Establishment of empirical formulae for hydrodynamic derivatives of submarine considering design parameters,10.1016/j.ijnaoe.2023.100537,S2092678223000262
Ocean Engineering,"['Ørnulf Jan Rødseth', 'Lars Andreas Lien Wennersberg', 'Håvard Nordahl']",0.0,2023-09-15,Improving safety of interactions between conventional and autonomous ships,10.1016/j.oceaneng.2023.115206,S0029801823015901
Ocean Engineering,"['Baran Yeter', 'Yordan Garbatov', 'Athanasios Kolios']",0.0,2023-09-15,Macroeconomic impact on the risk management of offshore wind farms,10.1016/j.oceaneng.2023.115224,S0029801823016086
Ocean Engineering,"['Sheng Xu', 'Ekaterina Kim']",0.0,2023-09-15,Hybrid causal logic model for estimating the probability of an icebreaker–ship collision in an ice channel during an escort operation along the Northeast Passage,10.1016/j.oceaneng.2023.115264,S0029801823016487
Journal of Ocean Engineering and Science,"['Minxi Zhang', 'Hanyan Zhao', 'Guoliang Yu']",0.0,2023-06-28,Numerical study of the flow at a vertical pile with net-like scour protection matt,10.1016/j.joes.2023.06.002,S2468013323000335
Ocean Engineering,"['Yuhao Cao', 'Xinjian Wang', 'Zhengjiang Liu']",0.0,2023-09-15,"Research in marine accidents: A bibliometric analysis, systematic review and future directions",10.1016/j.oceaneng.2023.115048,S0029801823014324
Ocean Engineering,"['John Saveca', 'Yanxia Sun', 'Zenghui Wang']",0.0,2023-09-15,Machine learning and particle swarm inspired success history based adaptive multi-objective differential evolution for optimization of heaving buoy point absorber,10.1016/j.oceaneng.2023.115189,S0029801823015731
Ocean Engineering,"['Tongtong Wang', 'Robert Skulstad', 'Houxiang Zhang']",0.0,2023-09-01,Knowledge transfer strategy for enhancement of ship maneuvering model,10.1016/j.oceaneng.2023.115122,S0029801823015068
Ocean Engineering,"['Hooshyar Azizpour', 'Edwin R. Galea', 'Helle Oltedal']",0.0,2023-09-01,Analysis of the impact of deploying thermal protective immersion suits on evacuation time for passenger ships operating in polar waters,10.1016/j.oceaneng.2023.114725,S0029801823011095
Ocean Engineering,"['Bahador Bakhtiari Nia', ""Mohammad Ja'fari"", 'Artur J. Jaworski']",0.0,2023-09-01,Passive control of boundary layer flow separation on a wind turbine airfoil using vortex generators and slot,10.1016/j.oceaneng.2023.115170,S0029801823015548
Ocean Engineering,"['Yi Liu', 'Jian-Min Zhang', 'Zhen-Zhong Hu']",0.0,2023-09-01,A digital twin-based framework for simulation and monitoring analysis of floating wind turbine structures,10.1016/j.oceaneng.2023.115009,S0029801823013938
Ocean Engineering,"['Eva Romano-Moreno', 'Gabriel Diaz-Hernandez', 'Javier L. Lara']",0.0,2023-09-01,Multivariate assessment of port operability and downtime based on the wave-induced response of moored ships at berths,10.1016/j.oceaneng.2023.115053,S0029801823014373
International Journal of Naval Architecture and Ocean Engineering,"['Pengpeng He', 'Ziru Li', 'Wei He']",0.0,2023-06-17,Prediction of cavitation dynamics and cavitation erosion around a three-dimensional twisted hydrofoil with an LES method,10.1016/j.ijnaoe.2023.100536,S2092678223000250
Ocean Engineering,"['Mingyang Zhang', 'Pentti Kujala', 'Spyros Hirdaris']",0.0,2023-09-01,A machine learning method for the prediction of ship motion trajectories in real operational conditions,10.1016/j.oceaneng.2023.114905,S0029801823012891
Journal of Ocean Engineering and Science,"['Yiwei Zhang', 'Rongxin Cui', 'Fei Deng']",0.0,2023-06-15,Geometric and non-geometric impact on Coanda effect propulsion device for UUV application,10.1016/j.joes.2023.06.001,S2468013323000311
Ocean Engineering,"['Danial Khojasteh', 'Abbas Shamsipour', 'William Glamore']",0.0,2023-08-15,A large-scale review of wave and tidal energy research over the last 20 years,10.1016/j.oceaneng.2023.114995,S0029801823013793
Ocean Engineering,"['Martin Albertsen Brandt', 'Sverre Herland', 'Esten Ingar Grøtli']",0.0,2023-08-15,Towards autonomous contact-free operations in aquaculture,10.1016/j.oceaneng.2023.115005,S0029801823013896
Ocean Engineering,"['Raphaël E. G. Mounet', 'Jiaxin Chen', 'Edward C. C. Steele']",0.0,2023-08-01,Deriving spatial wave data from a network of buoys and ships,10.1016/j.oceaneng.2023.114892,S0029801823012763
Ocean Engineering,['Aritra Ghosh'],0.0,2023-08-01,"A comprehensive review of water based PV: Flotavoltaics, under water, offshore & canal top",10.1016/j.oceaneng.2023.115044,S0029801823014282
Ocean Engineering,"['Haichao Chang', 'Zuyuan Liu', 'Qiang Zheng']",0.0,2023-08-01,Sampling method for hull form optimization based on the morphing method and its application,10.1016/j.oceaneng.2023.114715,S0029801823010995
Ocean Engineering,"['Weicheng Lei', 'Jikang Chen', 'Xueying Yu']",0.0,2023-08-01,CFD-assisted linearized frequency-domain analysis of motion and structural loads for floating structures with damping plates,10.1016/j.oceaneng.2023.114924,S0029801823013082
Ocean Engineering,"['Ehsan Javanmard', 'Javad A. Mehr', 'Michael R. Davis']",0.0,2023-08-01,An experimental investigation of the effect of ride control systems on the motions response of high-speed catamarans in irregular waves,10.1016/j.oceaneng.2023.114899,S0029801823012830
Ocean Engineering,"['Ali Tolooiyan', 'Kenneth Gavin', 'Ashley P. Dyson']",0.0,2023-08-01,Estimation of spudcan penetration in variable sand deposits with the Arbitrary Lagrangian Eulerian Finite Element Method,10.1016/j.oceaneng.2023.114955,S0029801823013392
Journal of Ocean Engineering and Science,"['Yepin Qu', 'Jianqiang Liu', 'Tao Li']",0.0,2023-06-03,Theory and practice of hull dynamic deformation law and heading angle transfer error correction,10.1016/j.joes.2023.05.005,S246801332300030X
Journal of Ocean Engineering and Science,"['Shangzhe Xin', 'Yiting Wang', 'Dongrong Zhou']",0.0,2023-06-02,A novel multi-module coupled algorithm for the wreck off-bottom simulation,10.1016/j.joes.2023.05.003,S2468013323000281
Ocean Engineering,"['Amin Al-Habaibeh', 'Lama Hamadeh', 'James McCague']",0.0,2023-08-01,Experimental study for evaluating the response of the power take off of a point absorber wave energy generation system using a hydraulic wave simulator,10.1016/j.oceaneng.2023.114906,S0029801823012908
Ocean Engineering,"['Abolfazl Abdolahifar', 'Mahdi Azizi', 'Amir Zanj']",0.0,2023-07-15,Flow structure and performance analysis of Darrieus vertical axis turbines with swept blades: A critical case study on V-shaped blades,10.1016/j.oceaneng.2023.114857,S0029801823012416
Journal of Ocean Engineering and Science,"['Jiyang Li', 'Zeng Liu', 'Jie Cui']",0.0,2023-05-30,Forces of fully nonlinear interfacial periodic waves on a cylindrical pile in a two-layer fluid with free-surface boundary conditions,10.1016/j.joes.2023.05.004,S2468013323000293
Ocean Engineering,"['Motoyasu Kanazawa', 'Tongtong Wang', 'Houxiang Zhang']",0.0,2023-07-15,Bridging similar ships’ dynamics for safeguarding the system identification of maneuvering models,10.1016/j.oceaneng.2023.114874,S0029801823012581
Ocean Engineering,"['Rasul Niazmand Bilandi', 'Abbas Dashtimanesh', 'Luigi Vitiello']",0.0,2023-07-15,Comparative study of experimental and CFD results for stepped planing hulls,10.1016/j.oceaneng.2023.114887,S0029801823012714
Ocean Engineering,"['Alexander B. Phillips', 'Robert Templeton', 'Maaten Furlong']",0.0,2023-07-15,Autosub Long Range 1500: A continuous 2000 km field trial,10.1016/j.oceaneng.2023.114626,S0029801823010107
Ocean Engineering,"['Soon Ho Yoon', 'Jihoon Kim', 'Jin Bum Moon']",0.0,2023-07-15,Fatigue evaluation test method using the inertia generator for the ultra-large offshore wind turbine blade,10.1016/j.oceaneng.2023.114802,S0029801823011861
Ocean Engineering,"['Giulia Cademartori', 'Luca Oneto', 'Davide Anguita']",0.0,2023-07-15,A review on ship motions and quiescent periods prediction models,10.1016/j.oceaneng.2023.114822,S0029801823012064
Ocean Engineering,"['He Zhang', 'Ji Zeng', 'Hailei Dong']",0.0,2023-07-15,Dynamic stiffness of polyester fiber mooring ropes: Experimental investigation based on radial basis function neural networks,10.1016/j.oceaneng.2023.114833,S0029801823012179
Ocean Engineering,"['Luis Alfonso Díaz-Secades', 'R. González', 'José Ramón Quevedo']",0.0,2023-08-01,Waste heat recovery system for marine engines optimized through a preference learning rank function embedded into a Bayesian optimizer,10.1016/j.oceaneng.2023.114747,S0029801823011319
Ocean Engineering,"['H. Díaz', 'C. Guedes Soares']",0.0,2023-08-01,Decision-making model for the selection of floating wind logistic support ports,10.1016/j.oceaneng.2023.114768,S0029801823011526
Ocean Engineering,"['D. Vassalos', 'D. Paterson', 'F. Mauro']",0.0,2023-08-01,Real-time flooding risk evaluation for ship-to-ship collisions based on first principles,10.1016/j.oceaneng.2023.114847,S0029801823012313
Ocean Engineering,"['Yuming Yuan', 'Q. W. Ma', 'Abbas Khayyer']",0.0,2023-08-01,A hybrid method for modelling wake flow of a wind turbine,10.1016/j.oceaneng.2023.114770,S002980182301154X
Ocean Engineering,"['Jialun Chen', 'Ian Milne', 'Wenhua Zhao']",0.0,2023-08-01,Forward prediction of surface wave elevations and motions of offshore floating structures using a data-driven model,10.1016/j.oceaneng.2023.114680,S0029801823010648
Ocean Engineering,"['Ruochen Yang', 'Jens Einar Bremnes', 'Ingrid Bouwer Utne']",0.0,2023-08-01,Online risk modeling of autonomous marine systems: Case study of autonomous operations under sea ice,10.1016/j.oceaneng.2023.114765,S0029801823011496
Ocean Engineering,"['Young-Rong Kim', 'Sverre Steen', 'Anders Hammer Strømman']",0.0,2023-08-01,Modelling of ship resistance and power consumption for the global fleet: The MariTEAM model,10.1016/j.oceaneng.2023.114758,S0029801823011423
Ocean Engineering,['Tomasz Cepowski'],0.0,2023-08-01,The use of a set of artificial neural networks to predict added resistance in head waves at the parametric ship design stage,10.1016/j.oceaneng.2023.114744,S0029801823011289
Ocean Engineering,"['M. Tadros', 'M. Ventura', 'C. Guedes Soares']",0.0,2023-07-15,"Review of current regulations, available technologies, and future trends in the green shipping industry",10.1016/j.oceaneng.2023.114670,S0029801823010545
Ocean Engineering,"['Çağlar Karatuğ', 'Yasin Arslanoğlu', 'C. Guedes Soares']",0.0,2023-08-01,Design of a decision support system to achieve condition-based maintenance in ship machinery systems,10.1016/j.oceaneng.2023.114611,S0029801823009952
Ocean Engineering,"['Jie Lin', 'Dong-Sheng Jeng', 'Yakun Guo']",0.0,2023-07-15,Recent advances of seabed liquefaction around the vicinity of marine structures,10.1016/j.oceaneng.2023.114660,S0029801823010442
Ocean Engineering,"['H. R. Díaz-Ojeda', 'F. Pérez-Arribas', 'Stephen R. Turnock']",0.0,2023-08-01,The influence of dihedral bulbous bows on the resistance of small fishing vessels: A numerical study,10.1016/j.oceaneng.2023.114661,S0029801823010454
Ocean Engineering,"['James Mason', 'Alice Larkin', 'Alejandro Gallego-Schmid']",0.0,2023-08-01,Mitigating stochastic uncertainty from weather routing for ships with wind propulsion,10.1016/j.oceaneng.2023.114674,S0029801823010582
Ocean Engineering,"['Malin Göteman', 'Zahra Shahroozi', 'Jens Engström']",0.0,2023-07-15,Resilience of wave energy farms using metocean dependent failure rates and repair operations,10.1016/j.oceaneng.2023.114678,S0029801823010624
Ocean Engineering,"['Øystein Volden', 'David Cabecinhas', 'Thor I. Fossen']",0.0,2023-07-15,Development and experimental evaluation of visual-acoustic navigation for safe maneuvering of unmanned surface vehicles in harbor and waterway areas,10.1016/j.oceaneng.2023.114675,S0029801823010594
Journal of Ocean Engineering and Science,"['Yuan-He Shi', 'De-Qing Yang', 'Wen-Wei Wu']",0.0,2023-05-04,Numerical analysis method of ship-ice collision-induced vibration of the polar transport vessel based on the full coupling of ship-ice-water-air,10.1016/j.joes.2023.04.002,S2468013323000153
Ocean Engineering,"['Dong Trong Nguyen', 'Marius Trodahl', 'Azzeddine Bakdi']",0.0,2023-07-15,Verification of collision avoidance algorithms in open sea and full visibility using fuzzy logic,10.1016/j.oceaneng.2023.114455,S0029801823008399
Ocean Engineering,"['A. J. Cebada-Relea', 'M. López', 'M. Aenlle']",0.0,2023-07-15,Short-term analysis of extreme wave-induced forces on the connections of a floating breakwater,10.1016/j.oceaneng.2023.114579,S0029801823009630
Ocean Engineering,"['Benjamin Cerfontaine', 'David White', 'Michael Brown']",0.0,2023-07-01,Anchor geotechnics for floating offshore wind: Current technologies and future innovations,10.1016/j.oceaneng.2023.114327,S0029801823007114
Ocean Engineering,"['Yan Liang', 'Yu Chen', 'Yichi Zhang']",0.0,2023-07-15,Research on the broadband source localization of a vector hydrophone vertical line array in the deep sea,10.1016/j.oceaneng.2023.114656,S0029801823010405
Ocean Engineering,"['Mariana Roldán', 'Rubén D. Montoya', 'Andrés. F. Osorio']",0.0,2023-07-15,Modified parametric hurricane wind model to improve the asymmetry in the region of maximum winds,10.1016/j.oceaneng.2023.114508,S0029801823008922
Ocean Engineering,"['Serge Sutulo', 'C. Guedes Soares']",0.0,2023-07-01,Application of an offline identification algorithm for adjusting parameters of a modular manoeuvring mathematical model,10.1016/j.oceaneng.2023.114328,S0029801823007126
Ocean Engineering,"['Ameen M. Bassam', 'Islam Amin', 'Erkan Oterkus']",0.0,2023-07-01,Conceptual design of a novel partially floating photovoltaic integrated with smart energy storage and management system for Egyptian North Lakes,10.1016/j.oceaneng.2023.114416,S0029801823008004
Ocean Engineering,"['Gowtham Radhakrishnan', 'Xu Han', 'Svein Sævik']",0.0,2023-06-15,Calibration of high-fidelity hydrodynamic models utilizing on-site vessel response measurements,10.1016/j.oceaneng.2023.114076,S0029801823004602
Ocean Engineering,"['Salem Okpokparoro', 'Srinivas Sriramula']",0.0,2023-06-15,Reliability analysis of floating wind turbine dynamic cables under realistic environmental loads,10.1016/j.oceaneng.2023.114594,S0029801823009782
Ocean Engineering,"['Daniel Gonzalez-Delgado', 'Pablo Jaen-Sola', 'Erkan Oterkus']",0.0,2023-07-15,Design and optimization of multi-MW offshore direct-drive wind turbine electrical generator structures using generative design techniques,10.1016/j.oceaneng.2023.114417,S0029801823008016
Ocean Engineering,"['Paul Lee', 'Gerasimos Theotokatos', 'Victor Bolbot']",0.0,2023-07-01,Risk-informed collision avoidance system design for maritime autonomous surface ships,10.1016/j.oceaneng.2023.113750,S0029801823001348
Ocean Engineering,"['Fan Gao', 'Frode Bloch', 'Astrid H. Brodtkorb']",0.0,2023-07-15,Novel combinator surface concept for efficiency optimization of ship propulsion system,10.1016/j.oceaneng.2023.114489,S0029801823008739
Ocean Engineering,"['Shiyang Li', 'Tongtong Wang', 'Houxiang Zhang']",0.0,2023-07-15,Ship maneuvering model optimization for improved identification with less excitation,10.1016/j.oceaneng.2023.114540,S0029801823009241
Ocean Engineering,"['Sunil Basnet', 'Ahmad BahooToroody', 'Osiris A. Valdez Banda']",0.0,2023-07-15,Selecting cost-effective risk control option for advanced maritime operations; Integration of STPA-BN-Influence diagram,10.1016/j.oceaneng.2023.114631,S0029801823010156
Ocean Engineering,"['Alireza Sadat Hosseini', 'Amir Kabiri', 'Mehdi Shafieefar']",0.0,2023-07-01,Genetic programming for the prediction of berm breakwaters recession,10.1016/j.oceaneng.2023.114465,S0029801823008491
Ocean Engineering,"['Çağlar Karatuğ', 'Mina Tadros', 'C. Guedes Soares']",0.0,2023-07-01,Strategy for ship energy efficiency based on optimization model and data-driven approach,10.1016/j.oceaneng.2023.114397,S0029801823007813
Ocean Engineering,"['Joao L. D. Dantas', 'Gerasimos Theotokatos']",0.0,2023-07-01,A framework for the economic-environmental feasibility assessment of short-sea shipping autonomous vessels,10.1016/j.oceaneng.2023.114420,S0029801823008041
Ocean Engineering,"['Savas Sezen', 'Mehmet Atlar']",0.0,2023-07-01,Marine propeller underwater radiated noise prediction with the FWH acoustic analogy Part 1: Assessment of model scale propeller hydroacoustic performance under uniform and inclined flow conditions,10.1016/j.oceaneng.2023.114552,S0029801823009368
Ocean Engineering,"['A. M. P. Santos', 'K. Fagerholt', 'C. Guedes Soares']",0.0,2023-06-15,A stochastic optimization algorithm for the supply vessel planning problem under uncertain demand and uncertain weather conditions,10.1016/j.oceaneng.2023.114428,S0029801823008120
Ocean Engineering,"['Angelos Ikonomakis', 'Klaus Kähler Holst', 'Ulrik Dam Nielsen']",0.0,2023-07-01,Estimating speed-through-water by Dynamic Factor Models fusing metocean and propeller data,10.1016/j.oceaneng.2023.114523,S0029801823009071
Journal of Ocean Engineering and Science,"['Yandong Hu', 'Yifan Zhao', 'Miaolin Feng']",0.0,2023-04-15,Double ceramic sphere's sympathetic implosions triggered by local impacts,10.1016/j.joes.2023.04.001,S2468013323000141
Ocean Engineering,"['Haonan Tian', 'Mohsen N. Soltani', 'Morten Eggert Nielsen']",0.0,2023-06-15,Review of floating wind turbine damping technology,10.1016/j.oceaneng.2023.114365,S0029801823007497
Ocean Engineering,"['Izwan Bin Ahmad', 'Anja Schnepf', 'Muk Chen Ong']",0.0,2023-06-15,An optimisation methodology for suspended inter-array power cable configurations between two floating offshore wind turbines,10.1016/j.oceaneng.2023.114406,S0029801823007904
Ocean Engineering,"['Robert Skulstad', 'Guoyuan Li', 'Houxiang Zhang']",0.0,2023-07-01,Constrained control allocation for dynamic ship positioning using deep neural network,10.1016/j.oceaneng.2023.114434,S0029801823008181
Ocean Engineering,"['Ruochen Yang', 'Jørn Vatn', 'Ingrid Bouwer Utne']",0.0,2023-06-15,Dynamic maintenance planning for autonomous marine systems (AMS) and operations,10.1016/j.oceaneng.2023.114492,S0029801823008764
Ocean Engineering,"['Jingru Xing', 'Songgui Chen', 'Liang Yang']",0.0,2023-06-15,Numerical modelling of oil containment process under current and waves,10.1016/j.oceaneng.2023.114356,S0029801823007400
Ocean Engineering,"['Xuanze Ju', 'Chiemela Victor Amaechi', 'Junji Li']",0.0,2023-06-15,"Numerical analysis of fishtailing motion, buoy kissing and pullback force in a catenary anchor leg mooring (CALM) moored tanker system",10.1016/j.oceaneng.2023.114236,S0029801823006200
Ocean Engineering,"['Hongbo Hou', 'Abel Arredondo Galeana', 'Weichao Shi']",0.0,2023-06-15,Design of a novel energy harvesting mechanism for underwater gliders using thermal buoyancy engines,10.1016/j.oceaneng.2023.114310,S0029801823006947
Ocean Engineering,"['Chunlin Wang', 'Torodd Skjerve Nord', 'Guoyuan Li']",0.0,2023-06-01,Towards uncertainty and sensitivity analysis for modal parameters identification during ice–structure interaction,10.1016/j.oceaneng.2023.114224,S002980182300608X
Ocean Engineering,"['Mohamed Elerian', 'Ziyang Huang', 'Rudy Helmons']",0.0,2023-06-01,Flocculation effect on turbidity flows generated by deep-sea mining: A numerical study,10.1016/j.oceaneng.2023.114250,S0029801823006340
Ocean Engineering,"['Celine Tran', 'Ivan Gushkov', 'Tor A. Johansen']",0.0,2023-06-01,Operability analysis of control system for ROV launch-and-recovery from autonomous surface vessel,10.1016/j.oceaneng.2023.114272,S002980182300656X
Ocean Engineering,"['Savin Viswanathan', 'Christian Holden', 'Ronny Sten']",0.0,2023-05-15,Cosimulation of a direct-acting riser-tensioner system – validation with field measurements and sample simulations,10.1016/j.oceaneng.2023.114241,S002980182300625X
Ocean Engineering,"['Auwalu I. Mohammed', 'Konstantinos Bartzas', 'James Njuguna']",0.0,2023-05-15,Structural response of a compliant pipe-in-pipe under frictionless and frictional conditions of the seabed,10.1016/j.oceaneng.2023.114020,S0029801823004043
