year,link
2017,https://www.sciencedirect.com/journal/water-resources-and-rural-development/vol/10/suppl/C
2017,https://www.sciencedirect.com/journal/water-resources-and-rural-development/vol/9/suppl/C
2016,https://www.sciencedirect.com/journal/water-resources-and-rural-development/vol/8/suppl/C
2016,https://www.sciencedirect.com/journal/water-resources-and-rural-development/vol/7/suppl/C
2015,https://www.sciencedirect.com/journal/water-resources-and-rural-development/vol/6/suppl/C
2015,https://www.sciencedirect.com/journal/water-resources-and-rural-development/vol/5/suppl/C
2014,https://www.sciencedirect.com/journal/water-resources-and-rural-development/vol/4/suppl/C
2014,https://www.sciencedirect.com/journal/water-resources-and-rural-development/vol/3/suppl/C
2013,https://www.sciencedirect.com/journal/water-resources-and-rural-development/vol/1/suppl/C
