index,doi
22173,10.1016/j.oceaneng.2020.106941
22174,10.1016/j.oceaneng.2019.106872
22174,10.1016/j.oceaneng.2019.106872
22175,10.1016/j.oceaneng.2019.106852
22175,10.1016/j.oceaneng.2019.106852
22176,10.1016/j.oceaneng.2019.106823
22176,10.1016/j.oceaneng.2019.106823
22177,10.1016/j.oceaneng.2019.106892
22177,10.1016/j.oceaneng.2019.106892
22178,10.1016/j.oceaneng.2020.106937
22178,10.1016/j.oceaneng.2020.106937
22179,10.1016/j.oceaneng.2019.106745
22179,10.1016/j.oceaneng.2019.106745
22180,10.1016/j.oceaneng.2019.106718
22180,10.1016/j.oceaneng.2019.106718
22181,10.1016/j.oceaneng.2019.106735
22181,10.1016/j.oceaneng.2019.106735
22182,10.1016/j.oceaneng.2019.106725
22182,10.1016/j.oceaneng.2019.106725
22183,10.1016/j.oceaneng.2019.106667
22183,10.1016/j.oceaneng.2019.106667
22184,10.1016/j.oceaneng.2019.106734
22184,10.1016/j.oceaneng.2019.106734
22185,10.1016/j.oceaneng.2019.106749
22185,10.1016/j.oceaneng.2019.106749
22186,10.1016/j.oceaneng.2019.106773
22186,10.1016/j.oceaneng.2019.106773
22187,10.1016/j.oceaneng.2019.106855
22187,10.1016/j.oceaneng.2019.106855
22188,10.1016/j.oceaneng.2019.106851
22188,10.1016/j.oceaneng.2019.106851
22189,10.1016/j.oceaneng.2019.106840
22189,10.1016/j.oceaneng.2019.106840
22190,10.1016/j.oceaneng.2019.106829
22190,10.1016/j.oceaneng.2019.106829
22191,10.1016/j.oceaneng.2019.106821
22191,10.1016/j.oceaneng.2019.106821
22192,10.1016/j.oceaneng.2019.106818
22192,10.1016/j.oceaneng.2019.106818
22193,10.1016/j.oceaneng.2019.106817
22193,10.1016/j.oceaneng.2019.106817
22194,10.1016/j.oceaneng.2019.106816
22194,10.1016/j.oceaneng.2019.106816
22195,10.1016/j.oceaneng.2019.106813
22195,10.1016/j.oceaneng.2019.106813
22196,10.1016/j.oceaneng.2019.106812
22196,10.1016/j.oceaneng.2019.106812
22197,10.1016/j.oceaneng.2019.106807
22197,10.1016/j.oceaneng.2019.106807
22198,10.1016/j.oceaneng.2019.106806
22198,10.1016/j.oceaneng.2019.106806
22199,10.1016/j.oceaneng.2019.106805
22199,10.1016/j.oceaneng.2019.106805
22200,10.1016/j.oceaneng.2019.106799
22200,10.1016/j.oceaneng.2019.106799
22201,10.1016/j.oceaneng.2019.106793
22201,10.1016/j.oceaneng.2019.106793
22202,10.1016/j.oceaneng.2019.106789
22202,10.1016/j.oceaneng.2019.106789
22203,10.1016/j.oceaneng.2019.106814
22203,10.1016/j.oceaneng.2019.106814
22204,10.1016/j.oceaneng.2019.106795
22204,10.1016/j.oceaneng.2019.106795
22205,10.1016/j.oceaneng.2019.106859
22205,10.1016/j.oceaneng.2019.106859
22206,10.1016/j.oceaneng.2019.106858
22206,10.1016/j.oceaneng.2019.106858
22207,10.1016/j.oceaneng.2019.106845
22207,10.1016/j.oceaneng.2019.106845
22208,10.1016/j.oceaneng.2019.106842
22208,10.1016/j.oceaneng.2019.106842
22209,10.1016/j.oceaneng.2019.106832
22209,10.1016/j.oceaneng.2019.106832
22210,10.1016/j.oceaneng.2019.106575
22210,10.1016/j.oceaneng.2019.106575
22211,10.1016/j.oceaneng.2019.106765
22211,10.1016/j.oceaneng.2019.106765
22212,10.1016/j.oceaneng.2019.106767
22212,10.1016/j.oceaneng.2019.106767
22213,10.1016/j.oceaneng.2019.106769
22213,10.1016/j.oceaneng.2019.106769
22214,10.1016/j.oceaneng.2019.106770
22214,10.1016/j.oceaneng.2019.106770
22215,10.1016/j.oceaneng.2019.106771
22215,10.1016/j.oceaneng.2019.106771
22216,10.1016/j.oceaneng.2019.106775
22216,10.1016/j.oceaneng.2019.106775
22217,10.1016/j.oceaneng.2019.106777
22217,10.1016/j.oceaneng.2019.106777
22218,10.1016/j.oceaneng.2019.106778
22218,10.1016/j.oceaneng.2019.106778
22219,10.1016/j.oceaneng.2019.106779
22219,10.1016/j.oceaneng.2019.106779
22220,10.1016/j.oceaneng.2019.106781
22220,10.1016/j.oceaneng.2019.106781
22221,10.1016/j.oceaneng.2019.106782
22221,10.1016/j.oceaneng.2019.106782
22222,10.1016/j.oceaneng.2019.106792
22222,10.1016/j.oceaneng.2019.106792
22223,10.1016/j.oceaneng.2019.106797
22223,10.1016/j.oceaneng.2019.106797
22224,10.1016/j.oceaneng.2019.106801
22224,10.1016/j.oceaneng.2019.106801
22225,10.1016/j.oceaneng.2019.106804
22225,10.1016/j.oceaneng.2019.106804
22226,10.1016/j.oceaneng.2019.106803
22226,10.1016/j.oceaneng.2019.106803
22227,10.1016/j.oceaneng.2019.106810
22227,10.1016/j.oceaneng.2019.106810
22228,10.1016/j.oceaneng.2019.106811
22228,10.1016/j.oceaneng.2019.106811
22229,10.1016/j.oceaneng.2019.106644
22229,10.1016/j.oceaneng.2019.106644
22230,10.1016/j.oceaneng.2019.106704
22230,10.1016/j.oceaneng.2019.106704
22231,10.1016/j.oceaneng.2019.106712
22231,10.1016/j.oceaneng.2019.106712
22232,10.1016/j.oceaneng.2019.106662
22232,10.1016/j.oceaneng.2019.106662
22233,10.1016/j.oceaneng.2019.106668
22233,10.1016/j.oceaneng.2019.106668
22234,10.1016/j.oceaneng.2019.106674
22234,10.1016/j.oceaneng.2019.106674
22235,10.1016/j.oceaneng.2019.106683
22235,10.1016/j.oceaneng.2019.106683
22236,10.1016/j.oceaneng.2019.106695
22236,10.1016/j.oceaneng.2019.106695
22237,10.1016/j.oceaneng.2019.106652
22237,10.1016/j.oceaneng.2019.106652
22238,10.1016/j.oceaneng.2019.106684
22238,10.1016/j.oceaneng.2019.106684
22239,10.1016/j.oceaneng.2019.106679
22239,10.1016/j.oceaneng.2019.106679
22240,10.1016/j.oceaneng.2019.106673
22240,10.1016/j.oceaneng.2019.106673
22241,10.1016/j.oceaneng.2019.106681
22241,10.1016/j.oceaneng.2019.106681
22242,10.1016/j.oceaneng.2019.106675
22242,10.1016/j.oceaneng.2019.106675
22243,10.1016/j.oceaneng.2019.106657
22243,10.1016/j.oceaneng.2019.106657
22244,10.1016/j.oceaneng.2019.106685
22244,10.1016/j.oceaneng.2019.106685
22245,10.1016/j.oceaneng.2019.106688
22245,10.1016/j.oceaneng.2019.106688
22246,10.1016/j.oceaneng.2019.106618
22246,10.1016/j.oceaneng.2019.106618
22247,10.1016/j.oceaneng.2019.106710
22247,10.1016/j.oceaneng.2019.106710
22260,10.1016/j.oceaneng.2019.106709
22260,10.1016/j.oceaneng.2019.106709
22263,10.1016/j.oceaneng.2019.106605
22263,10.1016/j.oceaneng.2019.106605
22266,10.1016/j.oceaneng.2019.106711
22266,10.1016/j.oceaneng.2019.106711
22276,10.1016/j.oceaneng.2019.106499
22276,10.1016/j.oceaneng.2019.106499
22278,10.1016/j.oceaneng.2019.106598
22278,10.1016/j.oceaneng.2019.106598
22280,10.1016/j.oceaneng.2019.106649
22280,10.1016/j.oceaneng.2019.106649
22281,10.1016/j.oceaneng.2019.106651
22281,10.1016/j.oceaneng.2019.106651
22282,10.1016/j.oceaneng.2019.106670
22282,10.1016/j.oceaneng.2019.106670
22284,10.1016/j.oceaneng.2019.106672
22284,10.1016/j.oceaneng.2019.106672
22286,10.1016/j.oceaneng.2019.106719
22286,10.1016/j.oceaneng.2019.106719
22287,10.1016/j.oceaneng.2019.106726
22287,10.1016/j.oceaneng.2019.106726
22288,10.1016/j.oceaneng.2019.106728
