,journal_id,volume_id,year,link,doi,date,pii,eid,scopus_id,citations,authors,affiliations,open_access
3994,6,32,2021,https://www.sciencedirect.com/science/article/pii/S0022169421009665,10.1016/j.jhydrol.2021.126916,2021-12-01,S0022169421009665,2-s2.0-85115143965,85115143965.0,9.0,"57204880701, 6506312498, 16241246600, 23100777800","60027392, 60003892:60027392:60027392:60027392",True
4007,6,32,2021,https://www.sciencedirect.com/science/article/pii/S0022169421010015,10.1016/j.jhydrol.2021.126951,2021-12-01,S0022169421010015,2-s2.0-85115413302,85115413302.0,5.0,"57267468900, 7202399682, 7004164076",60018805:60018805:60115214,True
4016,6,32,2021,https://www.sciencedirect.com/science/article/pii/S002216942100946X,10.1016/j.jhydrol.2021.126896,2021-12-01,S002216942100946X,2-s2.0-85115428761,85115428761.0,21.0,"57222726191, 37052028100, 55329219900",60023237:60023237:60010851,True
4034,6,32,2021,https://www.sciencedirect.com/science/article/pii/S0022169421010349,10.1016/j.jhydrol.2021.126984,2021-12-01,S0022169421010349,2-s2.0-85116037853,85116037853.0,5.0,"57196057761, 7006001577",60006101:60006101,True
4056,6,32,2021,https://www.sciencedirect.com/science/article/pii/S0022169421010684,10.1016/j.jhydrol.2021.127018,2021-12-01,S0022169421010684,2-s2.0-85116323229,85116323229.0,13.0,"57219714145, 55894577200, 36549873000, 57196466088","60010421, 60002980:60082291:60010421:60010421",True
4058,6,32,2021,https://www.sciencedirect.com/science/article/pii/S0022169421010374,10.1016/j.jhydrol.2021.126987,2021-12-01,S0022169421010374,2-s2.0-85116403955,85116403955.0,5.0,"56487976100, 57222029233, 7801559101, 57044732900","60027666:60027666:60027666, 60027666:127014161",True
4067,6,32,2021,https://www.sciencedirect.com/science/article/pii/S0022169421010623,10.1016/j.jhydrol.2021.127012,2021-12-01,S0022169421010623,2-s2.0-85116618911,85116618911.0,1.0,"51664605800, 57846394600, 57222034035, 57288920100, 57288578800","60028891, 60028891:60020547:60028891, 60028891:60028891, 60028891:60028891, 60028891",True
4070,6,32,2021,https://www.sciencedirect.com/science/article/pii/S0022169421010702,10.1016/j.jhydrol.2021.127020,2021-12-01,S0022169421010702,2-s2.0-85116532366,85116532366.0,12.0,"57201519057, 56856313000, 7005926494, 57222169896, 7004438282","60025278, 60001989:60025278:60001989:60025278:60008592",True
4088,6,33,2021,https://www.sciencedirect.com/science/article/pii/S0022169421008817,10.1016/j.jhydrol.2021.126831,2021-12-01,S0022169421008817,2-s2.0-85113372408,85113372408.0,12.0,"56021636300, 57218876566",60012603:60010580,True
4092,6,33,2021,https://www.sciencedirect.com/science/article/pii/S0022169421008635,10.1016/j.jhydrol.2021.126813,2021-12-01,S0022169421008635,2-s2.0-85113679542,85113679542.0,5.0,"57199706431, 57206845618, 57309630000, 55354632700, 56372513400","60004750:60004750:60004750, 60004750, 60004750:60004750:60004750",True
4098,6,33,2021,https://www.sciencedirect.com/science/article/pii/S0022169421008842,10.1016/j.jhydrol.2021.126834,2021-12-01,S0022169421008842,2-s2.0-85113610356,85113610356.0,11.0,57205558480,60019578,True
4099,6,33,2021,https://www.sciencedirect.com/science/article/pii/S002216942100891X,10.1016/j.jhydrol.2021.126841,2021-12-01,S002216942100891X,2-s2.0-85113362290,85113362290.0,8.0,"57231049100, 56117176800, 57230063900, 57937024500","60014966, 60105683:60105683, 60105683:60105683, 60006541:60105683",True
4107,6,33,2021,https://www.sciencedirect.com/science/article/pii/S0022169421009045,10.1016/j.jhydrol.2021.126854,2021-12-01,S0022169421009045,2-s2.0-85113972632,85113972632.0,20.0,"57197197453, 56373737700, 56392960700, 57240392300, 57221112863, 12753037900, 54400192000","60012954:60012954:115317468:60012954:60109392:60023932, 60027884, 60001821:60111747",True
4112,6,33,2021,https://www.sciencedirect.com/science/article/pii/S0022169421009239,10.1016/j.jhydrol.2021.126873,2021-12-01,S0022169421009239,2-s2.0-85114043408,85114043408.0,11.0,"8641306700, 56003026800, 26025583400, 57221905863",60027282:60027282:60002658:60027282,True
4119,6,33,2021,https://www.sciencedirect.com/science/article/pii/S0022169421009185,10.1016/j.jhydrol.2021.126868,2021-12-01,S0022169421009185,2-s2.0-85114027201,85114027201.0,35.0,"57222184028, 8672827800, 7004375739",60031126:60031126:60119342,True
4125,6,33,2021,https://www.sciencedirect.com/science/article/pii/S0022169421008969,10.1016/j.jhydrol.2021.126846,2021-12-01,S0022169421008969,2-s2.0-85114125239,85114125239.0,29.0,"57200794380, 57198437112, 6507592187, 36605795200","60000906, 60112889:60000906:60000906:60112889",True
4131,6,33,2021,https://www.sciencedirect.com/science/article/pii/S0022169421009276,10.1016/j.jhydrol.2021.126877,2021-12-01,S0022169421009276,2-s2.0-85114083802,85114083802.0,16.0,"57242791300, 55129739300, 23010872800, 57548444100, 57195365235, 57281389600, 6507404820","60015881:60015881:60015881, 116363100:60015881, 116363100:60015881:60015881:60015881",True
4138,6,33,2021,https://www.sciencedirect.com/science/article/pii/S0022169421009069,10.1016/j.jhydrol.2021.126856,2021-12-01,S0022169421009069,2-s2.0-85114191180,85114191180.0,5.0,"55557580300, 26642480300","60023529, 60023529:60023529, 60023529",True
4144,6,33,2021,https://www.sciencedirect.com/science/article/pii/S0022169421009483,10.1016/j.jhydrol.2021.126898,2021-12-01,S0022169421009483,2-s2.0-85114497527,85114497527.0,27.0,"55798495800, 57250883400, 56268837500, 25622191700, 55413706100","60011373:60011373, 60019722:118764690:60024260:118764690",True
4148,6,33,2021,https://www.sciencedirect.com/science/article/pii/S0022169421009355,10.1016/j.jhydrol.2021.126885,2021-12-01,S0022169421009355,2-s2.0-85115016196,85115016196.0,14.0,"57195420232, 6507006570, 25932303100, 6603710859, 7004433817",60002947:60002947:60002947:60011619:60002947,True
4151,6,33,2021,https://www.sciencedirect.com/science/article/pii/S0022169421009380,10.1016/j.jhydrol.2021.126888,2021-12-01,S0022169421009380,2-s2.0-85114675084,85114675084.0,13.0,"57203869448, 15822266400, 7402177894, 57190818469, 57208139463","60010851, 60028333:60028333:60010851:60028333:60010851, 60028333",True
4154,6,33,2021,https://www.sciencedirect.com/science/article/pii/S0022169421009318,10.1016/j.jhydrol.2021.126881,2021-12-01,S0022169421009318,2-s2.0-85114726859,85114726859.0,17.0,"57204470021, 27170572100, 16312501300, 57694140900","60272995, 60027363, 60082529:60272995:60272995:60272995",True
4175,6,33,2021,https://www.sciencedirect.com/science/article/pii/S0022169421009793,10.1016/j.jhydrol.2021.126929,2021-12-01,S0022169421009793,2-s2.0-85115416471,85115416471.0,12.0,"55730573600, 57202083853, 56463248400, 7404844056, 57266822100","60010851, 60010851, 122272277:60026610:60010851, 122272277, 60010851:60010851, 60010851, 122272277:60010851",True
4195,6,34,2021,https://www.sciencedirect.com/science/article/pii/S0022169421007733,10.1016/j.jhydrol.2021.126723,2021-11-01,S0022169421007733,2-s2.0-85111668718,85111668718.0,29.0,"56073123600, 57219727137, 57199878561, 8632797000, 57203803700, 12806771100",60030931:60030931:60030931:60030931:60005488:60005488,True
4197,6,34,2021,https://www.sciencedirect.com/science/article/pii/S002216942100620X,10.1016/j.jhydrol.2021.126573,2021-11-01,S002216942100620X,2-s2.0-85111917767,85111917767.0,28.0,"57270442200, 57190986198, 57223335638, 50662334400, 57202600640, 56308077400, 56786378100, 36085366200, 57226549709, 57223367572",60013614:60013614:60117660:60013614:100352662:60010545:60010545:60010545:126157968:126157968,True
4201,6,34,2021,https://www.sciencedirect.com/science/article/pii/S002216942100785X,10.1016/j.jhydrol.2021.126735,2021-11-01,S002216942100785X,2-s2.0-85111618887,85111618887.0,21.0,"57190760897, 57007544300, 37054789100, 14012430500, 57195674864","60102437:60006106:60020304, 60006337:60023237:60023237",True
4202,6,34,2021,https://www.sciencedirect.com/science/article/pii/S0022169421007903,10.1016/j.jhydrol.2021.126740,2021-11-01,S0022169421007903,2-s2.0-85112000777,85112000777.0,5.0,"55925231100, 57225098315",60009754:60013682,True
4207,6,34,2021,https://www.sciencedirect.com/science/article/pii/S0022169421008064,10.1016/j.jhydrol.2021.126756,2021-11-01,S0022169421008064,2-s2.0-85111939146,85111939146.0,19.0,"55661612200, 36107172000, 26031308800, 56354509300, 58044921800, 57225296169",60082966:60082966:60020261:60020261:60017293:60082966,True
4229,6,34,2021,https://www.sciencedirect.com/science/article/pii/S0022169421008180,10.1016/j.jhydrol.2021.126768,2021-11-01,S0022169421008180,2-s2.0-85112398660,85112398660.0,6.0,"56458615800, 6603952862, 6603451761, 55113298700, 57226703315, 22834634100",60103653:60103653:60103653:60033178:60098990:60098990,True
4230,6,34,2021,https://www.sciencedirect.com/science/article/pii/S0022169421008271,10.1016/j.jhydrol.2021.126777,2021-11-01,S0022169421008271,2-s2.0-85112131078,85112131078.0,12.0,"57189498168, 57201019910, 55588955400, 57217045548, 55272532600, 35492089600, 7202530680","60023237, 60020650:60023237:60023237:60023237:60023237:60023237:60023237",True
4240,6,34,2021,https://www.sciencedirect.com/science/article/pii/S0022169421007575,10.1016/j.jhydrol.2021.126707,2021-11-01,S0022169421007575,2-s2.0-85113276020,85113276020.0,3.0,"55558978100, 57226896124",60029849:60029849,True
