year,link
2023,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/624/suppl/C
2023,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/623/suppl/C
2023,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/622/part/PB
2023,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/622/part/PA
2023,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/621/suppl/C
2023,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/620/part/PB
2023,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/620/part/PA
2023,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/619/suppl/C
2023,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/618/suppl/C
2023,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/617/part/PC
2023,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/617/part/PB
2023,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/617/part/PA
2023,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/616/suppl/C
2022,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/615/part/PB
2022,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/615/part/PA
2022,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/614/part/PB
2022,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/614/part/PA
2022,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/613/part/PB
2022,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/613/part/PA
2022,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/612/part/PC
2022,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/612/part/PB
2022,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/612/part/PA
2022,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/611/suppl/C
2022,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/610/suppl/C
2022,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/609/suppl/C
2022,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/608/suppl/C
2022,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/607/suppl/C
2022,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/606/suppl/C
2022,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/605/suppl/C
2022,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/604/suppl/C
2021,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/603/part/PD
2021,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/603/part/PC
2021,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/603/part/PB
2021,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/603/part/PA
2021,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/602/suppl/C
2021,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/601/suppl/C
2021,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/600/suppl/C
2021,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/599/suppl/C
2021,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/598/suppl/C
2021,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/597/suppl/C
2021,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/596/suppl/C
2021,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/595/suppl/C
2021,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/594/suppl/C
2021,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/593/suppl/C
2021,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/592/suppl/C
2020,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/591/suppl/C
2020,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/590/suppl/C
2020,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/589/suppl/C
2020,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/588/suppl/C
2020,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/587/suppl/C
2020,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/586/suppl/C
2020,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/585/suppl/C
2020,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/584/suppl/C
2020,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/583/suppl/C
2020,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/582/suppl/C
2020,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/581/suppl/C
2020,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/580/suppl/C
2019,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/579/suppl/C
2019,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/578/suppl/C
2019,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/577/suppl/C
2019,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/576/suppl/C
2019,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/575/suppl/C
2019,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/574/suppl/C
2019,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/573/suppl/C
2019,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/572/suppl/C
2019,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/571/suppl/C
2019,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/570/suppl/C
2019,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/569/suppl/C
2019,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/568/suppl/C
2018,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/567/suppl/C
2018,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/566/suppl/C
2018,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/565/suppl/C
2018,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/564/suppl/C
2018,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/563/suppl/C
2018,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/562/suppl/C
2018,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/561/suppl/C
2018,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/560/suppl/C
2018,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/559/suppl/C
2018,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/558/suppl/C
2018,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/557/suppl/C
2018,https://www.sciencedirect.com/journal/journal-of-hydrology/vol/556/suppl/C
