,journal,authors,buzz_id,date,name,doi,pii
0,Water Research,"['Iftekhar Sunny', 'Stewart Husband', 'Joby Boxall']",0,2023-07-03,Costing of Strategies for Long-term Trunk Main Discolouration Management,10.1016/j.watres.2023.120301,S0043135423007376
1,Water Research,"['João Pereira', 'Patrícia Neves', 'Annemiek ter Heijne']",0,2023-08-15,Starvation combined with constant anode potential triggers intracellular electron storage in electro-active biofilms,10.1016/j.watres.2023.120278,S0043135423007145
2,Water Research X,"['Jessica Penny', 'Dibesh Khadka', 'Slobodan Djordjević']",0,2023-09-01,Using multi criteria decision analysis in a geographical information system framework to assess drought risk,10.1016/j.wroa.2023.100190,S2589914723000269
3,Water Research,"['Charlotte Henkel', 'Jonas Lamprecht', 'Thilo Hofmann']",0,2023-08-15,Environmental factors strongly influence the leaching of di(2-ethylhexyl) phthalate from polyvinyl chloride microplastics,10.1016/j.watres.2023.120235,S0043135423006711
4,Water Research X,"['Abraham Cullom', 'Mattheu Storme Spencer', 'Marc A. Edwards']",0,2023-06-15,Influence of pipe materials on in-building disinfection of <ce:italic>P. aeruginosa</ce:italic> and <ce:italic>A. baumannii</ce:italic> in simulated hot water plumbing,10.1016/j.wroa.2023.100189,S2589914723000257
5,Water Research,"['Natnael Demissie', 'Prithvi Simha', 'Björn Vinnerås']",0,2023-08-15,Degradation of 75 organic micropollutants in fresh human urine and water by UV advanced oxidation process,10.1016/j.watres.2023.120221,S0043135423006577
6,Water Research,"['Mattia Mattei', 'Rosa M. Pintó', 'Alex Arenas']",0,2023-08-15,Analysis of SARS-CoV-2 in wastewater for prevalence estimation and investigating clinical diagnostic test biases,10.1016/j.watres.2023.120223,S0043135423006590
7,Water Research,"[""Camila D' Bastiani"", 'David Kennedy', 'Anthony Reynolds']",0,2023-08-15,CFD simulation of anaerobic granular sludge reactors: A review,10.1016/j.watres.2023.120220,S0043135423006565
8,Water Research,"['Signe Haukelidsaeter', 'Alje S. Boersma', 'Caroline P. Slomp']",0,2023-06-10,"Influence of filter age on Fe, Mn and NH<ce:inf loc=post>4</ce:inf><ce:sup loc=post>+</ce:sup> removal in dual media rapid sand filters used for drinking water production",10.1016/j.watres.2023.120184,S0043135423006206
9,Water Research X,"['Jinha Kim', 'Myung Hwangbo', 'Kung-Hui Chu']",0,2023-09-01,Advances and perspectives of using stable isotope probing (SIP)-based technologies in contaminant biodegradation,10.1016/j.wroa.2023.100187,S2589914723000233
10,Water Research,"['Frieberg Kim', 'Gago-Ferrero Pablo', 'Lundqvist Johan']",0,2023-08-15,Effect-based evaluation of water quality in a system of indirect reuse of wastewater for drinking water production,10.1016/j.watres.2023.120147,S0043135423005833
11,Water Research,"['Luca Carena', 'Ángela García-Gil', 'Davide Vione']",0,2023-08-01,Global modeling of lake-water indirect photochemistry based on the equivalent monochromatic wavelength approximation: The case of the triplet states of chromophoric dissolved organic matter,10.1016/j.watres.2023.120153,S0043135423005894
12,Water Research,"['Jiaxing Fang', 'Zihan Dai', 'Gang Liu']",0,2023-08-01,Service-lines as major contributor to water quality deterioration at customer ends,10.1016/j.watres.2023.120143,S0043135423005791
13,Water Research,"['Mingchen Yao', 'Yue Zhang', 'Gang Liu']",0,2023-08-01,Building water quality deterioration during water supply restoration after interruption: Influences of premise plumbing configuration,10.1016/j.watres.2023.120149,S0043135423005857
14,Water Research,"['Niamh A. Martin', 'Laura Sala-Comorera', 'Wim G. Meijer']",0,2023-08-15,Inclusion of hydrodynamic properties of bathing waters is critical in selecting faecal indicators to assess public health impacts of faecal contamination,10.1016/j.watres.2023.120137,S0043135423005730
15,Water Research,"['Péter Polcz', 'Kálmán Tornai', 'Gábor Szederkényi']",0,2023-08-01,"Wastewater-based modeling, reconstruction, and prediction for COVID-19 outbreaks in Hungary caused by highly immune evasive variants",10.1016/j.watres.2023.120098,S0043135423005341
16,Water Research,"['Tianqi Zhang', 'Urs von Gunten']",0,2023-08-15,Chlorination of amides: Kinetics and mechanisms of formation of <ce:italic>N</ce:italic>-chloramides and their reactions with phenolic compounds,10.1016/j.watres.2023.120131,S0043135423005675
17,Water Research,"['Anna Kukkola', 'Robert L. Runkel', 'Stefan Krause']",0,2023-07-15,Prevailing impacts of river management on microplastic transport in contrasting US streams: Rethinking global microplastic flux estimations,10.1016/j.watres.2023.120112,S0043135423005481
18,Water Research,"['Xiaotong Cen', 'Jiuling Li', 'Min Zheng']",0,2023-07-15,A critical review of chemical uses in urban sewer systems,10.1016/j.watres.2023.120108,S0043135423005444
19,Water Research,"['Eva Reynaert', 'Philipp Steiner', 'Eberhard Morgenroth']",0,2023-07-15,Predicting microbial water quality in on-site water reuse systems with online sensors,10.1016/j.watres.2023.120075,S0043135423005110
20,Water Research,"['Tracy J. Mincer', 'Ryan P. Bos', 'Linda A. Amaral-Zettler']",0,2023-05-03,Sargasso Sea <ce:italic>Vibrio</ce:italic> bacteria: Underexplored potential pathovars in a perturbed habitat,10.1016/j.watres.2023.120033,S0043135423004694
21,Water Research X,"['E. Mackey', 'R. Hofmann', 'S. A. Andrews']",0,2023-05-01,UV-chlorine advanced oxidation for potable water reuse: A review of the current state of the art and research needs,10.1016/j.wroa.2023.100183,S2589914723000191
22,Water Research X,"['Mei Bai', 'Zhiyao Wang', 'Deli Chen']",0,2023-05-01,Long-term onsite monitoring of a sewage sludge drying pan finds methane emissions consistent with IPCC default emission factor,10.1016/j.wroa.2023.100184,S2589914723000208
23,Water Research,"['Laura Varga', 'Kathrin Fenner', 'Mark Honti']",0,2023-07-01,From market to environment – consumption-normalised pharmaceutical emissions in the Rhine catchment,10.1016/j.watres.2023.120017,S0043135423004530
24,Water Research,"['Epting Jannis', 'Love Råman Vinnå', 'Oliver S. Schilling']",0,2023-06-30,Climate change adaptation and mitigation measures for alluvial aquifers - Solution approaches based on the thermal exploitation of managed aquifer (MAR) and surface water recharge (MSWR),10.1016/j.watres.2023.119988,S0043135423004244
25,Water Research,"['Iftekhar Sunny', 'Stewart Husband', 'Joby Boxall']",1,2023-07-03,Costing of Strategies for Long-term Trunk Main Discolouration Management,10.1016/j.watres.2023.120301,S0043135423007376
