vol_index,paper_link
9,https://www.sciencedirect.com/science/article/pii/S1463500322000671
9,https://www.sciencedirect.com/science/article/pii/S1463500322000634
10,https://www.sciencedirect.com/science/article/pii/S1463500322000713
10,https://www.sciencedirect.com/science/article/pii/S1463500322000506
10,https://www.sciencedirect.com/science/article/pii/S146350032200052X
10,https://www.sciencedirect.com/science/article/pii/S1463500322000658
10,https://www.sciencedirect.com/science/article/pii/S1463500322000646
10,https://www.sciencedirect.com/science/article/pii/S1463500322000610
11,https://www.sciencedirect.com/science/article/pii/S1463500322000567
11,https://www.sciencedirect.com/science/article/pii/S1463500322000385
11,https://www.sciencedirect.com/science/article/pii/S1463500322000373
11,https://www.sciencedirect.com/science/article/pii/S1463500322000397
11,https://www.sciencedirect.com/science/article/pii/S146350032200049X
11,https://www.sciencedirect.com/science/article/pii/S1463500322000518
12,https://www.sciencedirect.com/science/article/pii/S1463500322000439
12,https://www.sciencedirect.com/science/article/pii/S1463500322000269
12,https://www.sciencedirect.com/science/article/pii/S1463500322000282
12,https://www.sciencedirect.com/science/article/pii/S1463500322000361
12,https://www.sciencedirect.com/science/article/pii/S1463500322000294
12,https://www.sciencedirect.com/science/article/pii/S1463500322000270
13,https://www.sciencedirect.com/science/article/pii/S1463500322000336
13,https://www.sciencedirect.com/science/article/pii/S1463500322000014
13,https://www.sciencedirect.com/science/article/pii/S1463500322000026
13,https://www.sciencedirect.com/science/article/pii/S1463500322000129
13,https://www.sciencedirect.com/science/article/pii/S1463500322000130
13,https://www.sciencedirect.com/science/article/pii/S146350032200021X
13,https://www.sciencedirect.com/science/article/pii/S1463500322000208
14,https://www.sciencedirect.com/science/article/pii/S1463500322000178
14,https://www.sciencedirect.com/science/article/pii/S1463500321001839
14,https://www.sciencedirect.com/science/article/pii/S1463500321001852
14,https://www.sciencedirect.com/science/article/pii/S1463500321001827
14,https://www.sciencedirect.com/science/article/pii/S1463500321001864
14,https://www.sciencedirect.com/science/article/pii/S1463500321001815
14,https://www.sciencedirect.com/science/article/pii/S1463500321001840
15,https://www.sciencedirect.com/science/article/pii/S1463500322000063
15,https://www.sciencedirect.com/science/article/pii/S1463500321001712
15,https://www.sciencedirect.com/science/article/pii/S1463500321001670
15,https://www.sciencedirect.com/science/article/pii/S1463500321001682
15,https://www.sciencedirect.com/science/article/pii/S1463500321001797
15,https://www.sciencedirect.com/science/article/pii/S1463500321001803
15,https://www.sciencedirect.com/science/article/pii/S1463500321001694
15,https://www.sciencedirect.com/science/article/pii/S1463500321001700
16,https://www.sciencedirect.com/science/article/pii/S146350032100175X
16,https://www.sciencedirect.com/science/article/pii/S146350032100144X
16,https://www.sciencedirect.com/science/article/pii/S1463500321001487
16,https://www.sciencedirect.com/science/article/pii/S1463500321001499
16,https://www.sciencedirect.com/science/article/pii/S1463500321001475
16,https://www.sciencedirect.com/science/article/pii/S1463500321001463
16,https://www.sciencedirect.com/science/article/pii/S1463500321001451
16,https://www.sciencedirect.com/science/article/pii/S1463500321001529
16,https://www.sciencedirect.com/science/article/pii/S1463500321001505
16,https://www.sciencedirect.com/science/article/pii/S1463500321001621
16,https://www.sciencedirect.com/science/article/pii/S1463500321001517
16,https://www.sciencedirect.com/science/article/pii/S146350032100161X
16,https://www.sciencedirect.com/science/article/pii/S1463500321001657
16,https://www.sciencedirect.com/science/article/pii/S1463500321001542
16,https://www.sciencedirect.com/science/article/pii/S1463500321001530
16,https://www.sciencedirect.com/science/article/pii/S1463500321001669
17,https://www.sciencedirect.com/science/article/pii/S146350032100158X
17,https://www.sciencedirect.com/science/article/pii/S1463500321001311
17,https://www.sciencedirect.com/science/article/pii/S1463500321001268
17,https://www.sciencedirect.com/science/article/pii/S146350032100130X
17,https://www.sciencedirect.com/science/article/pii/S1463500321001281
17,https://www.sciencedirect.com/science/article/pii/S146350032100127X
17,https://www.sciencedirect.com/science/article/pii/S1463500321001323
17,https://www.sciencedirect.com/science/article/pii/S1463500321001256
17,https://www.sciencedirect.com/science/article/pii/S1463500321001438
