year,link
2023,https://www.sciencedirect.com/journal/ocean-modelling/vol/184/suppl/C
2023,https://www.sciencedirect.com/journal/ocean-modelling/vol/183/suppl/C
2023,https://www.sciencedirect.com/journal/ocean-modelling/vol/182/suppl/C
2023,https://www.sciencedirect.com/journal/ocean-modelling/vol/181/suppl/C
2022,https://www.sciencedirect.com/journal/ocean-modelling/vol/180/suppl/C
2022,https://www.sciencedirect.com/journal/ocean-modelling/vol/179/suppl/C
2022,https://www.sciencedirect.com/journal/ocean-modelling/vol/178/suppl/C
2022,https://www.sciencedirect.com/journal/ocean-modelling/vol/177/suppl/C
2022,https://www.sciencedirect.com/journal/ocean-modelling/vol/176/suppl/C
2022,https://www.sciencedirect.com/journal/ocean-modelling/vol/175/suppl/C
2022,https://www.sciencedirect.com/journal/ocean-modelling/vol/174/suppl/C
2022,https://www.sciencedirect.com/journal/ocean-modelling/vol/173/suppl/C
2022,https://www.sciencedirect.com/journal/ocean-modelling/vol/172/suppl/C
2022,https://www.sciencedirect.com/journal/ocean-modelling/vol/171/suppl/C
2022,https://www.sciencedirect.com/journal/ocean-modelling/vol/170/suppl/C
2022,https://www.sciencedirect.com/journal/ocean-modelling/vol/169/suppl/C
2021,https://www.sciencedirect.com/journal/ocean-modelling/vol/168/suppl/C
2021,https://www.sciencedirect.com/journal/ocean-modelling/vol/167/suppl/C
2021,https://www.sciencedirect.com/journal/ocean-modelling/vol/166/suppl/C
2021,https://www.sciencedirect.com/journal/ocean-modelling/vol/165/suppl/C
2021,https://www.sciencedirect.com/journal/ocean-modelling/vol/164/suppl/C
2021,https://www.sciencedirect.com/journal/ocean-modelling/vol/163/suppl/C
2021,https://www.sciencedirect.com/journal/ocean-modelling/vol/162/suppl/C
2021,https://www.sciencedirect.com/journal/ocean-modelling/vol/161/suppl/C
2021,https://www.sciencedirect.com/journal/ocean-modelling/vol/160/suppl/C
2021,https://www.sciencedirect.com/journal/ocean-modelling/vol/159/suppl/C
2021,https://www.sciencedirect.com/journal/ocean-modelling/vol/158/suppl/C
2021,https://www.sciencedirect.com/journal/ocean-modelling/vol/157/suppl/C
2020,https://www.sciencedirect.com/journal/ocean-modelling/vol/156/suppl/C
2020,https://www.sciencedirect.com/journal/ocean-modelling/vol/155/suppl/C
2020,https://www.sciencedirect.com/journal/ocean-modelling/vol/154/suppl/C
2020,https://www.sciencedirect.com/journal/ocean-modelling/vol/153/suppl/C
2020,https://www.sciencedirect.com/journal/ocean-modelling/vol/152/suppl/C
2020,https://www.sciencedirect.com/journal/ocean-modelling/vol/151/suppl/C
2020,https://www.sciencedirect.com/journal/ocean-modelling/vol/150/suppl/C
2020,https://www.sciencedirect.com/journal/ocean-modelling/vol/149/suppl/C
2020,https://www.sciencedirect.com/journal/ocean-modelling/vol/148/suppl/C
2020,https://www.sciencedirect.com/journal/ocean-modelling/vol/147/suppl/C
2020,https://www.sciencedirect.com/journal/ocean-modelling/vol/146/suppl/C
2020,https://www.sciencedirect.com/journal/ocean-modelling/vol/145/suppl/C
2019,https://www.sciencedirect.com/journal/ocean-modelling/vol/144/suppl/C
2019,https://www.sciencedirect.com/journal/ocean-modelling/vol/143/suppl/C
2019,https://www.sciencedirect.com/journal/ocean-modelling/vol/142/suppl/C
2019,https://www.sciencedirect.com/journal/ocean-modelling/vol/141/suppl/C
2019,https://www.sciencedirect.com/journal/ocean-modelling/vol/140/suppl/C
2019,https://www.sciencedirect.com/journal/ocean-modelling/vol/139/suppl/C
2019,https://www.sciencedirect.com/journal/ocean-modelling/vol/138/suppl/C
2019,https://www.sciencedirect.com/journal/ocean-modelling/vol/137/suppl/C
2019,https://www.sciencedirect.com/journal/ocean-modelling/vol/136/suppl/C
2019,https://www.sciencedirect.com/journal/ocean-modelling/vol/135/suppl/C
2019,https://www.sciencedirect.com/journal/ocean-modelling/vol/134/suppl/C
2019,https://www.sciencedirect.com/journal/ocean-modelling/vol/133/suppl/C
2018,https://www.sciencedirect.com/journal/ocean-modelling/vol/132/suppl/C
2018,https://www.sciencedirect.com/journal/ocean-modelling/vol/131/suppl/C
2018,https://www.sciencedirect.com/journal/ocean-modelling/vol/130/suppl/C
2018,https://www.sciencedirect.com/journal/ocean-modelling/vol/129/suppl/C
2018,https://www.sciencedirect.com/journal/ocean-modelling/vol/128/suppl/C
2018,https://www.sciencedirect.com/journal/ocean-modelling/vol/127/suppl/C
2018,https://www.sciencedirect.com/journal/ocean-modelling/vol/126/suppl/C
2018,https://www.sciencedirect.com/journal/ocean-modelling/vol/125/suppl/C
2018,https://www.sciencedirect.com/journal/ocean-modelling/vol/124/suppl/C
2018,https://www.sciencedirect.com/journal/ocean-modelling/vol/123/suppl/C
2018,https://www.sciencedirect.com/journal/ocean-modelling/vol/122/suppl/C
2018,https://www.sciencedirect.com/journal/ocean-modelling/vol/121/suppl/C
2017,https://www.sciencedirect.com/journal/ocean-modelling/vol/120/suppl/C
2017,https://www.sciencedirect.com/journal/ocean-modelling/vol/119/suppl/C
2017,https://www.sciencedirect.com/journal/ocean-modelling/vol/118/suppl/C
2017,https://www.sciencedirect.com/journal/ocean-modelling/vol/117/suppl/C
2017,https://www.sciencedirect.com/journal/ocean-modelling/vol/116/suppl/C
2017,https://www.sciencedirect.com/journal/ocean-modelling/vol/115/suppl/C
2017,https://www.sciencedirect.com/journal/ocean-modelling/vol/114/suppl/C
2017,https://www.sciencedirect.com/journal/ocean-modelling/vol/113/suppl/C
