journal,authors,buzz_id,date,name,doi,pii
Journal of Water Process Engineering,"['Catarina Silva', 'Cristina M. M. Almeida', 'Maria João Rosa']",0,2023-08-31,Improving the control of pharmaceutical compounds in activated sludge wastewater treatment plants: Key operating conditions and monitoring parameters,10.1016/j.jwpe.2023.103985,S2214714423005044
Journal of Water Process Engineering,"['Fanny Rivera', 'Joseph Akpan', 'Raúl Muñoz']",0,2023-08-31,Side-stream membrane-based NH<ce:inf loc=post>3</ce:inf> extraction to improve the anaerobic digestion of poultry manure,10.1016/j.jwpe.2023.103990,S2214714423005093
Journal of Water Process Engineering,"['Deborah Tebogo Ruziwa', 'Abimbola E. Oluwalana', 'Nhamo Chaukura']",0,2023-08-31,Pharmaceuticals in wastewater and their photocatalytic degradation using nano-enabled photocatalysts,10.1016/j.jwpe.2023.103880,S2214714423003999
Journal of Water Process Engineering,"['M. Pilar Castro', 'Miguel A. Montiel', 'Manuel A. Rodrigo']",0,2023-07-31,Outstanding productions of peroxymonosulfuric acid combining tailored electrode coating and 3D printing,10.1016/j.jwpe.2023.103902,S221471442300421X
Journal of Water Process Engineering,"['Setyo Budi Kurniawan', 'Muhammad Fauzul Imron', 'Hassimi Abu Hasan']",0,2023-07-31,Coagulation–flocculation of aquaculture effluent using biobased flocculant: From artificial to real wastewater optimization by response surface methodology,10.1016/j.jwpe.2023.103869,S2214714423003884
Journal of Water Process Engineering,"['Aimilia Stefanatou', 'Spyridoula Schiza', 'Michail S. Fountoulakis']",0,2023-07-31,Use of climbing and ornamental plants in vertical flow constructed wetlands treating greywater,10.1016/j.jwpe.2023.103832,S2214714423003513
Journal of Water Process Engineering,"['Mark Zver', 'David Dobnik', 'Gregor Primc']",0,2023-07-31,Non-thermal plasma inactivation of viruses in water solutions,10.1016/j.jwpe.2023.103839,S2214714423003586
Journal of Water Process Engineering,"['Octavio García-Depraect', 'Inji Mirzazada', 'Raúl Muñoz']",0,2023-07-31,Biotic and abiotic insights into the storage of food waste and its effect on biohydrogen and methane production potential,10.1016/j.jwpe.2023.103840,S2214714423003598
Journal of Water Process Engineering,"['Sharvari Sunil Gadegaonkar', 'Ülo Mander', 'Mikk Espenberg']",0,2023-07-31,A state-of-the-art review and guidelines for enhancing nitrate removal in bio-electrochemical systems (BES),10.1016/j.jwpe.2023.103788,S2214714423003070
Journal of Water Process Engineering,"['Josep Ribes', 'Joaquín Serralta', 'José Ferrer']",0,2023-07-31,Widening the applicability of most-open-valve (MOV) strategy for aeration control at full scale WWTPs by combining fuzzy-logic control and knowledge-based rules,10.1016/j.jwpe.2023.103689,S2214714423002088
Journal of Water Process Engineering,"['Tamara Alomar', 'Hazim Qiblawey', 'Nasir M. Ahmad']",0,2023-07-31,Recent advances on humic acid removal from wastewater using adsorption process,10.1016/j.jwpe.2023.103679,S2214714423001988
Journal of Water Process Engineering,"['Jean Noel Uwayezu', 'Ivan Carabante', 'Jurate Kumpiene']",0,2023-07-31,Validation of UV/persulfate as a PFAS treatment of industrial wastewater and environmental samples,10.1016/j.jwpe.2023.103614,S2214714423001319
Journal of Water Process Engineering,"['Magdalena Sitarska', 'Teodora Traczewska', 'Beata Hanus-Lorenz']",0,2023-04-30,Phytoremediation of mercury from water by monocultures and mixed cultures pleustophytes,10.1016/j.jwpe.2023.103529,S2214714423000466
Journal of Water Process Engineering,"['Soo Hyeon Kim', 'Jiwon Seo', 'Hyun Uk Lee']",0,2023-04-30,Construction of an underwater plasma and Fenton hybrid system for the rapid oxidation of organic dyes and antibiotics,10.1016/j.jwpe.2023.103519,S2214714423000363
Journal of Water Process Engineering,"['Jia Win Chen', 'Yi Jing Chan', 'Sara Kazemi Yazdi']",0,2023-04-30,Process modelling and optimisation of methane yield from palm oil mill effluent using response surface methodology and artificial neural network,10.1016/j.jwpe.2023.103493,S2214714423000107
Journal of Water Process Engineering,"['Manorma Sharma', 'Patrícia Alves', 'Licínio M. Gando-Ferreira']",0,2023-04-30,Effect of activated carbon nanoparticles on the performance of PES nanofiltration membranes to separate kraft lignin from black liquor,10.1016/j.jwpe.2023.103487,S2214714423000041
Journal of Water Process Engineering,"['Yaneth Cardona', 'Agnieszka Węgrzyn', 'Antonio Gil']",0,2023-04-30,Heterogeneous Fenton- and photo-Fenton-like catalytic degradation of emerging pollutants using Fe<ce:inf loc=post>2</ce:inf>O<ce:inf loc=post>3</ce:inf>/TiO<ce:inf loc=post>2</ce:inf>/pillared clays synthesized from aluminum industrial wastes,10.1016/j.jwpe.2023.103494,S2214714423000119
Journal of Water Process Engineering,"['Leonardo Romero-Martínez', 'Paola Duque-Sarango', 'Enrique Nebot']",0,2023-04-30,Inactivation efficacy and reactivation of fecal bacteria with a flow-through LED ultraviolet reactor: Intraspecific response prevails over interspecific differences,10.1016/j.jwpe.2023.103497,S2214714423000144
Journal of Water Process Engineering,"['Fredrik Nyström', 'Inga Herrmann', 'Maria Viklander']",0,2023-02-28,Polymer-assisted hydraulic dredging for quality control of stormwater pond sediment and reject water – Influence of polymer choice and its preparation,10.1016/j.jwpe.2022.103463,S2214714422009072
Journal of Water Process Engineering,"['Khadega A. Al-Maqdi', 'Nada Elmerhi', 'Syed Salman Ashraf']",0,2023-02-28,Laccase–copper phosphate hybrid nanoflower as potent thiazole remediation agent,10.1016/j.jwpe.2022.103438,S2214714422008820
Journal of Water Process Engineering,"['Nurul Husna Mohd Yusoff', 'Chien Hwa Chong', 'Voon - Loong Wong']",0,2023-02-28,Optimization strategies and emerging application of functionalized 3D-printed materials in water treatment: A review,10.1016/j.jwpe.2022.103410,S2214714422008546
Journal of Water Process Engineering,"['T. Blach', 'P. Lechevallier', 'M. Engelhart']",0,2023-02-28,Effect of temperature during the hydrothermal carbonization of sewage sludge on the aerobic treatment of the produced process waters,10.1016/j.jwpe.2022.103368,S2214714422008121
Journal of Water Process Engineering,"['Javier San Martín', 'Daniel Puyol', 'Fernando Martínez']",0,2023-02-28,A novel photoanaerobic process as a feasible alternative to the traditional aerobic treatment of refinery wastewater,10.1016/j.jwpe.2022.103352,S2214714422007966
Journal of Water Process Engineering,"['Ignacio Rivas-Zaballos', 'Leonardo Romero-Martínez', 'Enrique Nebot']",0,2023-02-28,UV-LEDs combined with persulfate salts as a method to inactivate microalgae in ballast water,10.1016/j.jwpe.2022.103361,S2214714422008054
Journal of Water Process Engineering,"['Yu Huang', 'Paul Jeffrey', 'Marc Pidou']",0,2022-12-31,A comparative evaluation of reverse osmosis membrane performance when combined with anaerobic or aerobic membrane bioreactors for indirect potable reuse applications,10.1016/j.jwpe.2022.103295,S2214714422007395
Journal of Water Process Engineering,"['Suélen Regina Cominetti Baú', 'Matheus Bevegnu', 'M. Hasan Shaheed']",0,2022-12-31,Development and economic viability analysis of photovoltaic (PV) energy powered decentralized ultrafiltration of rainwater for potable use,10.1016/j.jwpe.2022.103228,S2214714422006729
Journal of Water Process Engineering,"['Ridha Djellabi', 'Peidong Su', 'Sandra Contreras']",0,2022-12-31,Advances in photocatalytic reduction of hexavalent chromium: From fundamental concepts to materials design and technology challenges,10.1016/j.jwpe.2022.103301,S2214714422007450
Journal of Water Process Engineering,"['Obaidullah Mohiuddin', 'Adam P Harvey', 'Sharon Velasquez-Orta']",0,2022-12-31,Kinetic modelling of yeast growth and pollutant removal in secondary effluent,10.1016/j.jwpe.2022.103244,S2214714422006882
Journal of Water Process Engineering,"['Anna Jędras', 'Jakub Matusik', 'Karolina Rybka']",0,2022-12-31,Impregnation of smectite with layered double hydroxides of different chemistry for simultaneous removal of Cr(III) and acid blue dye,10.1016/j.jwpe.2022.103252,S2214714422006961
Journal of Water Process Engineering,"['Zhuang He', 'Yunqiu Zhang', 'Guangzhi Hu']",0,2022-12-31,Microwave-assisted synthesis of amorphous cobalt nanoparticle decorated N-doped biochar for highly efficient degradation of sulfamethazine via peroxymonosulfate activation,10.1016/j.jwpe.2022.103226,S2214714422006705
Journal of Water Process Engineering,"['Leonardo Romero-Martínez', 'Javier Moreno-Andrés', 'Enrique Nebot']",0,2022-10-31,Development of a geometrical model for the determination of the average intensity in a flow-through UV-LED reactor and validation with biodosimetry and actinometry,10.1016/j.jwpe.2022.103137,S2214714422005815
Journal of Water Process Engineering,"['Mahsa Khajeh', 'Ensiyeh Taheri', 'Jorge Bedia']",0,2022-10-31,Combination of hydrodynamic cavitation with oxidants for efficient treatment of synthetic and real textile wastewater,10.1016/j.jwpe.2022.103143,S2214714422005876
Journal of Water Process Engineering,"['Elena Villar-Navarro', 'Jesús Ruiz', 'José A. Perales']",0,2022-10-31,Microalgae biotechnology for simultaneous water treatment and feed ingredient production in aquaculture,10.1016/j.jwpe.2022.103115,S2214714422005591
Journal of Water Process Engineering,"[""Edoardo Dell'Armi"", 'Marco Zeppilli', 'Mauro Majone']",0,2022-10-31,Evaluation of a bioelectrochemical reductive/oxidative sequential process for chlorinated aliphatic hydrocarbons (CAHs) removal from a real contaminated groundwater,10.1016/j.jwpe.2022.103101,S2214714422005451
Journal of Water Process Engineering,"['A. Ronaldo Anuf', 'K. Ramaraj', 'Ana M. Díez-Pascual']",0,2022-10-31,Optimization of electrocoagulation process for treatment of rice mill effluent using response surface methodology,10.1016/j.jwpe.2022.103074,S2214714422005189
