affiliation,citations
60103148,244.0
60003003,243.0
60028442,242.0
60005465,241.0
60090708,240.0
60018208,239.0
60020486,239.0
60103653,237.0
60194941,237.0
60107601,237.0
60013071,237.0
60016476,236.0
60027161,235.0
60018844,235.0
60273098,234.0
60001711,234.0
60104290,232.0
60102070,231.0
60016377,231.0
60004678,231.0
60097412,230.0
112645605,230.0
60032619,229.0
60071181,229.0
60022659,227.0
60009500,227.0
60028218,226.0
60029311,226.0
60103754,225.0
60000717,225.0
60029274,225.0
60023256,223.0
60071189,223.0
60007381,223.0
60104392,223.0
60107379,223.0
60022317,223.0
60026306,222.0
60009559,222.0
60017179,222.0
60088462,222.0
60027245,221.0
60018089,221.0
60029978,221.0
60011226,220.0
60002575,220.0
60073624,220.0
60008783,220.0
60104350,219.0
60010591,219.0
60017482,217.0
60018163,217.0
60102148,217.0
60061261,216.0
60001298,216.0
60009254,216.0
60031419,216.0
60055833,216.0
60032269,216.0
100644830,214.0
60007398,214.0
107029218,213.0
60014466,212.0
60007751,211.0
60015574,210.0
60022461,209.0
60015941,209.0
60025837,208.0
60272288,207.0
60016818,207.0
60012967,207.0
60032955,206.0
60013983,206.0
60025949,206.0
60032350,205.0
60030867,205.0
60021967,205.0
60028596,203.0
60018319,203.0
60027012,203.0
60068705,203.0
60005515,203.0
60026846,202.0
60033154,202.0
60082199,202.0
60006925,201.0
60033057,200.0
60088081,199.0
60021859,199.0
60003078,199.0
60087200,199.0
60108229,199.0
60015626,198.0
60003630,198.0
60109868,197.0
60000060,197.0
124614438,197.0
124614730,197.0
113843551,197.0
60020661,196.0
60274779,196.0
60032389,195.0
60012704,195.0
60000305,195.0
60104653,194.0
122383016,194.0
60032730,193.0
60017697,193.0
60000174,192.0
108214116,192.0
60027950,192.0
60018405,191.0
60007652,191.0
60012162,191.0
60007616,191.0
60010382,190.0
60025153,189.0
60031818,189.0
60014070,189.0
60000356,189.0
60024758,189.0
60003858,188.0
60003122,188.0
60089706,188.0
60022381,188.0
60028419,188.0
60009999,187.0
60008724,187.0
60071147,187.0
115178096,187.0
60008562,187.0
60007249,186.0
60009697,186.0
60024445,185.0
60021988,185.0
60020458,185.0
60016912,184.0
60018353,184.0
60028891,184.0
60025441,184.0
60023610,184.0
60004572,184.0
60071163,184.0
60031106,183.0
60011941,182.0
60024045,182.0
60073580,181.0
60017803,181.0
60073482,181.0
60020261,180.0
60077835,180.0
60007709,179.0
60008898,179.0
60029380,178.0
60116768,178.0
60087822,178.0
60025235,177.0
60014304,177.0
60003662,176.0
60015658,176.0
60008691,176.0
60003212,176.0
60073460,175.0
60016248,175.0
60018815,175.0
101656676,175.0
122255427,175.0
60110375,175.0
60032653,174.0
100419372,174.0
60022279,172.0
60010105,172.0
60004305,172.0
