,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,0,0,0,0,0,0,0,22,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,48,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0
19,62,3,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,28,0,1,0,0,0,0,0,0,0,0
24,31,0,0,0,0,0,0,42,0,0,2,0,1,0,0,0,0,0,29,0,1,0,0,0,0,0,0,0,1
64,78,1,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0
77,14,0,0,0,0,0,0,15,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,41,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,19,0,0,0,2,0,0,0,0,0,0
97,31,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
99,31,1,0,0,0,1,0,35,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
106,80,2,0,0,0,0,0,55,0,0,0,0,1,0,0,0,0,0,22,0,2,0,0,0,0,0,0,0,0
138,1,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0
140,24,0,0,0,0,0,0,16,1,0,2,0,0,0,0,0,1,0,19,0,2,0,1,0,0,0,0,0,0
142,13,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,28,0,0,0,0,0,0,14,6,0,0,0,0,0,0,0,1,0,14,0,4,0,0,0,0,0,3,0,0
166,59,1,0,0,0,0,0,21,1,0,1,0,1,0,0,0,1,0,22,0,1,0,0,0,0,0,0,0,0
170,29,0,0,0,0,0,0,15,1,0,5,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0
180,5,0,0,0,0,1,0,33,0,0,0,0,0,0,0,0,0,0,74,1,0,0,0,0,0,0,0,0,0
188,10,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
189,10,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12
201,21,2,0,1,0,1,0,20,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0
202,22,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
215,66,0,0,0,0,1,0,6,0,0,0,0,1,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0
230,22,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
232,14,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,25,0,0,1,0,0,0,16,0,0,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0
239,0,0,0,0,0,1,0,100,0,0,0,0,3,0,0,0,0,0,12,1,0,0,0,0,0,0,0,1,0
264,74,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,20,0,1,0,80,0,0,0,0,0,0
290,0,0,0,0,0,0,0,29,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,44,1,0,0,0,0,0,28,0,0,4,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
298,22,3,0,0,0,0,0,16,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
307,44,8,0,0,0,0,0,18,0,0,0,0,6,0,0,0,0,0,15,3,4,0,1,0,0,0,0,0,0
325,27,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,10,1,1,0,0,0,0,0,0,0,0
329,31,2,0,0,0,0,0,10,0,0,8,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0
345,33,0,0,0,0,0,0,27,2,0,0,0,0,0,0,0,2,0,13,2,1,0,0,0,0,0,0,0,0
348,0,0,0,0,0,0,0,41,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,2
351,17,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
353,1,1,0,0,0,20,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,26,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
358,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0
361,60,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,0
366,18,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,1,0,16,1,1,0,0,0,0,0,0,0,0
367,16,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
373,50,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,1,0,33,1,4,0,1,0,0,0,0,0,0
395,44,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,1,4,0,1,0,0,0,0,0,0
420,2,0,0,0,0,0,0,44,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421,72,1,0,0,0,0,0,1,0,0,3,0,3,0,1,0,0,0,37,1,0,9,0,0,0,0,0,0,0
438,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,1
441,61,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,26,0,2,0,0,0,0,0,0,0,0
456,133,18,0,1,0,0,0,18,0,0,0,0,6,0,1,0,0,0,56,5,0,0,1,0,0,0,0,0,0
471,74,4,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,16,6,9,0,0,0,0,0,0,0,0
474,32,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0
481,26,1,0,0,0,0,0,7,0,0,1,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
496,84,0,0,0,1,0,0,21,0,0,3,0,0,0,0,0,0,0,38,0,0,0,4,0,0,0,1,0,1
500,11,0,0,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0
502,11,0,0,0,0,0,0,28,0,21,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
504,72,0,0,0,0,0,0,26,0,0,4,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
507,27,1,0,0,0,0,0,38,1,0,4,0,0,0,0,0,1,0,17,2,2,0,1,0,0,0,0,0,0
533,116,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
534,60,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
548,14,0,0,0,0,0,0,28,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
556,19,0,0,0,0,0,0,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
562,15,0,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0
564,16,0,0,0,0,0,0,51,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
569,0,0,0,0,0,10,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
651,0,14,0,0,0,0,0,31,0,0,0,0,14,0,0,0,0,0,14,1,0,0,2,0,0,0,0,0,0
652,0,0,0,0,0,1,0,20,0,0,0,0,26,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
655,25,0,0,1,0,0,0,20,3,0,0,0,0,0,0,0,0,0,6,0,5,0,2,0,0,0,0,0,0
658,6,0,0,0,0,10,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
696,43,0,0,0,1,0,0,145,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,1
701,14,0,0,0,0,0,0,17,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
763,49,0,0,0,0,0,0,55,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
799,46,0,0,0,0,1,0,34,0,0,0,0,0,0,0,0,0,0,17,2,0,0,1,0,0,0,0,0,0
855,2,1,0,0,0,0,0,44,0,0,0,0,1,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0
872,82,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
878,33,0,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
886,36,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
893,26,0,0,0,0,2,0,23,0,0,0,0,1,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0
905,73,0,0,0,0,0,0,11,0,0,0,0,5,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0
908,11,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,4,0
916,17,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
940,24,0,0,0,0,0,0,18,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
946,11,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
986,24,0,0,0,0,28,0,3,0,0,0,0,0,0,0,0,0,0,0,29,0,0,4,0,0,0,0,0,0
1010,0,0,0,0,0,0,0,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
1012,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
1119,14,7,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,0,0,0,0,2
1166,21,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,16,0,0,0,0,0,0
1172,40,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,0,62,0,0,0,7,0,0,0,0,0,6
1173,26,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,15,0,0,0,0,0,3
1204,10,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0
1208,29,0,0,0,0,2,0,24,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0
1236,1,0,0,0,0,14,0,15,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
1250,19,2,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,20,2,2,0,0,0,0,0,0,0,0
1253,10,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1262,0,0,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
1279,2,0,0,0,0,19,0,15,0,0,0,0,3,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0
1280,0,0,0,0,0,0,0,15,0,0,0,0,0,0,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1284,23,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1356,13,0,0,0,0,0,0,18,0,0,0,0,3,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0
