id,eid,name,cited-by,citations
55719857100,9-s2.0-55719857100,Zhongyi Wang,586,812
57227954800,9-s2.0-57227954800,Xin Wu,3,3
57199431070,9-s2.0-57199431070,Feng Liu,1452,1847
36699815000,9-s2.0-36699815000,Laiming Huang,740,929
57480629500,9-s2.0-57480629500,Jun Gu,11,11
56449805600,9-s2.0-56449805600,Renmin Yang,788,940
8234993700,9-s2.0-8234993700,Fan Yang,1570,1736
56021636300,9-s2.0-56021636300,Halit Apaydin,672,724
57218876566,9-s2.0-57218876566,Muhammad Sibtain,98,111
56796940600,9-s2.0-56796940600,Weijing Chen,98,102
57211399360,9-s2.0-57211399360,Xiyan Zhang,48,54
42861808400,9-s2.0-42861808400,Dongqing Li,595,681
57208585225,9-s2.0-57208585225,Lei Chen,111,125
57214649615,9-s2.0-57214649615,Feng Ming,300,323
57214688230,9-s2.0-57214688230,Yuhang Liu,66,67
57200379039,9-s2.0-57200379039,Xianghui Cao,711,740
55361904200,9-s2.0-55361904200,Chunzi Ma,536,679
55354632700,9-s2.0-55354632700,Prerona R. Das,122,128
56372513400,9-s2.0-56372513400,Amey Pathak,758,908
57214930599,9-s2.0-57214930599,Sergio Miguel López-Ramírez,51,61
7201374620,9-s2.0-7201374620,Alex S. Mayer,2181,2595
54894813100,9-s2.0-54894813100,Leonardo Sáenz,2213,2399
23091448100,9-s2.0-23091448100,Lyssette Elena Muñoz-Villers,749,959
57188747364,9-s2.0-57188747364,Nathaniel Looker,139,154
57200687391,9-s2.0-57200687391,Christoph Schürz,140,142
16028133700,9-s2.0-16028133700,Z. Carter Berry,824,988
7003968733,9-s2.0-7003968733,Robert H. Manson,1264,1503
8782763500,9-s2.0-8782763500,Heidi Asbjornsen,3514,4369
6701705157,9-s2.0-6701705157,Randall K. Kolka,4460,5639
6602500372,9-s2.0-6602500372,Daniel R. Geissert,220,247
57234612400,9-s2.0-57234612400,Carlos Lezama,4,4
56704090800,9-s2.0-56704090800,Jianchun Qiu,84,84
57231397900,9-s2.0-57231397900,Changsheng Zhang,8,8
56358863200,9-s2.0-56358863200,Andrew J. Schwartz,19,20
57264358400,9-s2.0-57264358400,Yu Liu,9,9
57255783300,9-s2.0-57255783300,Reza Salman,5,5
57190172815,9-s2.0-57190172815,Pouyan Hatami Bahman Beiglou,47,48
57217989404,9-s2.0-57200563306,Kang Zhao,102,115
57216971673,9-s2.0-57216971673,Hongru Wang,12,12
57832549100,9-s2.0-57203533991,Guangqian Wang,110,125
57231049100,9-s2.0-57231049100,Jiang Yu,8,8
57230063900,9-s2.0-57230063900,Xiaoli Wang,8,8
57812659900,9-s2.0-57812659900,Zhilin Sun,41,50
57218284494,9-s2.0-57218284494,Zhendong Cao,46,47
55810499400,9-s2.0-55810499400,Yu Zhang,514,538
54582960000,9-s2.0-54582960000,Phillip J. Wolfram,705,807
56604888300,9-s2.0-56604888300,Steven R. Brus,348,371
