count
192873
9386
2496
4624
453
3072
253827
7878
31423
7589
273103
998
2243
5818
5319
401
11486
13939
23442
237
757
17
38429
6545
56296
15043
5329
13841
6494
28930
2058
1
7376
152
1469
1619
17256
59472
