,journal_id,volume_id,year,link,doi,date,pii,eid,scopus_id,citations,authors,affiliations,open_access
2267,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169422015980,10.1016/j.jhydrol.2022.129028,2023-02-01,S0022169422015980,2-s2.0-85145966519,85145966519.0,0.0,"16069507600, 7201649301, 7403184284, 27170277000, 7407359381, 56828597000, 57007407100",60199493:60118890:60004879:60027018:60017511:60029140:60199493,True
2273,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169422015852,10.1016/j.jhydrol.2022.129015,2023-02-01,S0022169422015852,2-s2.0-85147089209,85147089209.0,3.0,"58083552200, 36451279000, 57210364968, 7102096582, 35226162700, 57221277104, 57191341146, 56081951100, 8437626400","60021182, 126660631:60021182, 126660631:60000635:60031150, 60027363:60031150, 60027363:60000745:60000745:112749263:60073530",True
2274,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169422016043,10.1016/j.jhydrol.2022.129034,2023-02-01,S0022169422016043,2-s2.0-85146289151,85146289151.0,1.0,"57198025106, 57214823910, 57222516702, 6507051085, 6602944577","60112782:60004954:125930351:60084823, 60104463:60004954",True
2275,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169422016122,10.1016/j.jhydrol.2022.129042,2023-02-01,S0022169422016122,2-s2.0-85145969720,85145969720.0,2.0,"56563167800, 9732440200, 57193837265, 57608992800, 57694169600, 56471427300, 57194149637, 57220818730, 57226592616, 58055113400, 58054974400, 58054902500, 58041447200, 7501445389, 55790651000, 55512400300","60026846, 60026846:60003725:60003725:60026846, 60026846:60003725:60003725:60003725:60003725:60003725:60003725:60003725:60003725:60212023:60272995:60272995:60272995",True
2277,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169422016146,10.1016/j.jhydrol.2022.129044,2023-02-01,S0022169422016146,2-s2.0-85146049837,85146049837.0,0.0,"57221060458, 57155482400, 56449844900","60103148, 60005488:60082181:113768692",True
2278,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423000045,10.1016/j.jhydrol.2023.129062,2023-02-01,S0022169423000045,2-s2.0-85146099646,85146099646.0,1.0,"58059948700, 8230971000, 57221587910, 57210587026, 58059952000",60023237:60023237:60023237:60023237:60023237,True
2279,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423000288,10.1016/j.jhydrol.2023.129086,2023-02-01,S0022169423000288,2-s2.0-85146151357,85146151357.0,0.0,"57840784900, 22950341000, 57203311348, 57204191434, 57202641611","60019499, 60031248, 60027363:60019499, 60087826, 60031041:60001989:60019499, 60031248, 60027363:60087826, 60031041",True
2281,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423000033,10.1016/j.jhydrol.2023.129061,2023-02-01,S0022169423000033,2-s2.0-85146049227,85146049227.0,0.0,"56593835400, 55847126000, 58043923900, 55717370200, 55818660500, 58059162300","110135441, 129047501:60005488:60005488, 60088081:60005488:60021836:110135441",True
2282,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169422015311,10.1016/j.jhydrol.2022.128961,2023-02-01,S0022169422015311,2-s2.0-85149788638,85149788638.0,0.0,"55804462900, 36161315100","60002896, 60101646:60101646",True
2284,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423000379,10.1016/j.jhydrol.2023.129095,2023-02-01,S0022169423000379,2-s2.0-85149712938,85149712938.0,2.0,"6603799214, 57217596324, 57202134416, 7003448140",60017697:60017697:60017697:60017697,True
2285,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423000410,10.1016/j.jhydrol.2023.129099,2023-02-01,S0022169423000410,2-s2.0-85146051512,85146051512.0,0.0,"57195549627, 57734784100, 57218664564, 56662605400, 58059206200, 57418130300","60031041, 60031041:60031041, 60031248:60031041, 60031041, 60031248:60100533:60031041, 60031041:60031041, 60031041",True
2286,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423000458,10.1016/j.jhydrol.2023.129103,2023-02-01,S0022169423000458,2-s2.0-85146225139,85146225139.0,0.0,"58064534200, 26321020600, 7103369956, 21735502400","60030835, 60005488:60030835:60030835:60030835",True
2290,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423000021,10.1016/j.jhydrol.2023.129060,2023-02-01,S0022169423000021,2-s2.0-85146287745,85146287745.0,0.0,"56637320700, 57188963479, 6603723163","60031150, 60014171:60014171:60014171",True
2293,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423000276,10.1016/j.jhydrol.2023.129085,2023-02-01,S0022169423000276,2-s2.0-85146219278,85146219278.0,1.0,"57039219900, 7201771344",60005720:60005720,True
2299,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423000513,10.1016/j.jhydrol.2023.129109,2023-02-01,S0022169423000513,2-s2.0-85146150481,85146150481.0,0.0,"56167721500, 57210283514, 58061720500, 57804284500, 57218365142, 57904721800, 57199413341","60117779, 60000745:60117779:60117779:60117779:60117779, 60003970:60117779, 60003970:60117779, 60003970, 60003970",True
2300,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423000446,10.1016/j.jhydrol.2023.129102,2023-02-01,S0022169423000446,2-s2.0-85146297368,85146297368.0,0.0,"57111023600, 57212200257, 57211990467, 55498676400, 57200280707, 56505852500, 58065195300, 56190878300, 58065893900, 16300650200","60031041, 60031041, 60031041:60031041, 60087826:60031041, 60082180:60031041, 60031041, 60031041:60031041, 60031041, 60031041:60031041, 60031041, 60031041:60031041, 60031041, 60031041:60031041, 60031041, 60031041:129087052:60031041, 60031041, 60031041",True
